"itemSet","support"
875,74036
["n"],0.5221333333333333
["d"],0.5216
["q"],0.5258666666666667
["o"],0.5246666666666666
["g"],0.5158666666666667
["s"],0.5198
["b"],0.5190666666666667
["y"],0.5212666666666667
["u"],0.5212666666666667
["e"],0.5170666666666667
["w"],0.5250666666666667
["x"],0.5263333333333333
["j"],0.5232666666666667
["v"],0.5211333333333333
["k"],0.5176666666666667
["i"],0.5239333333333334
["l"],0.5258666666666667
["r"],0.5200666666666667
["m"],0.5143333333333333
["z"],0.5241333333333333
["p"],0.5232666666666667
["c"],0.5227333333333334
["h"],0.5238666666666667
["f"],0.5196666666666667
["t"],0.5195333333333333
["j","x"],0.3352
["v","x"],0.33566666666666667
["k","x"],0.3326
["i","x"],0.3343333333333333
["l","x"],0.33566666666666667
["r","x"],0.3360666666666667
["m","x"],0.32793333333333335
["x","z"],0.3382
["p","x"],0.333
["c","x"],0.3314666666666667
["h","x"],0.3358
["f","x"],0.3314
["t","x"],0.33213333333333334
["j","v"],0.3338
["j","k"],0.33286666666666664
["i","j"],0.3363333333333333
["j","l"],0.33666666666666667
["j","r"],0.3332
["j","m"],0.324
["j","z"],0.33466666666666667
["j","p"],0.335
["c","j"],0.33386666666666664
["h","j"],0.33566666666666667
["f","j"],0.3316
["j","t"],0.33426666666666666
["k","v"],0.33026666666666665
["i","v"],0.33513333333333334
["l","v"],0.3344666666666667
["r","v"],0.32986666666666664
["m","v"],0.3284
["v","z"],0.33513333333333334
["p","v"],0.3344
["c","v"],0.334
["h","v"],0.3348
["f","v"],0.33453333333333335
["t","v"],0.332
["i","k"],0.3324
["k","l"],0.33466666666666667
["k","r"],0.33186666666666664
["k","m"],0.3280666666666667
["k","z"],0.332
["k","p"],0.33393333333333336
["c","k"],0.329
["h","k"],0.3350666666666667
["f","k"],0.3313333333333333
["k","t"],0.33386666666666664
["i","l"],0.3368
["i","r"],0.3328
["i","m"],0.3294666666666667
["i","z"],0.337
["i","p"],0.3350666666666667
["c","i"],0.33166666666666667
["h","i"],0.3337333333333333
["f","i"],0.3362
["i","t"],0.3334666666666667
["l","r"],0.3359333333333333
["l","m"],0.33126666666666665
["l","z"],0.3406666666666667
["l","p"],0.33566666666666667
["c","l"],0.336
["h","l"],0.3364
["f","l"],0.33266666666666667
["l","t"],0.33393333333333336
["m","r"],0.3284666666666667
["r","z"],0.33466666666666667
["p","r"],0.3344666666666667
["c","r"],0.3358
["h","r"],0.335
["f","r"],0.33313333333333334
["r","t"],0.3324666666666667
["m","z"],0.32953333333333334
["m","p"],0.3280666666666667
["c","m"],0.32966666666666666
["h","m"],0.3290666666666667
["f","m"],0.33126666666666665
["m","t"],0.3297333333333333
["p","z"],0.33286666666666664
["c","z"],0.3369333333333333
["h","z"],0.3368
["f","z"],0.3340666666666667
["t","z"],0.33666666666666667
["c","p"],0.331
["h","p"],0.3343333333333333
["f","p"],0.33113333333333334
["p","t"],0.33093333333333336
["c","h"],0.33573333333333333
["c","f"],0.3324666666666667
["c","t"],0.32926666666666665
["f","h"],0.33353333333333335
["h","t"],0.33493333333333336
["f","t"],0.3328
