"itemSet","support"
590,9596
["p"],1
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["o"],0.9217134416543574
["n"],0.8778926637124569
["b"],0.9470704086656819
["s"],0.8028064992614475
["t"],0.7602166420482521
["w"],0.9763663220088626
["p","s"],0.8028064992614475
["p","t"],0.7602166420482521
["p","w"],0.9763663220088626
["f","p"],1
["f","k"],0.6469719350073855
["f","o"],0.9217134416543574
["f","n"],0.8778926637124569
["f","s"],0.8028064992614475
["f","t"],0.7602166420482521
["f","w"],0.9763663220088626
["c","p"],0.8552437223042836
["c","f"],0.8552437223042836
["c","e"],0.8197932053175776
["c","o"],0.8124076809453471
["c","n"],0.7331363860167405
["c","s"],0.6669128508124077
["c","t"],0.6184145741014279
["c","w"],0.8316100443131462
["k","p"],0.6469719350073855
["k","o"],0.604628261939931
["k","w"],0.6410635155096012
["e","p"],0.9645494830132939
["e","f"],0.9645494830132939
["e","k"],0.6469719350073855
["e","o"],0.8862629246676514
["e","n"],0.8778926637124569
["e","s"],0.7673559822747416
["e","t"],0.724766125061546
["e","w"],0.9409158050221565
["o","p"],0.9217134416543574
["o","s"],0.7321516494337764
["o","t"],0.6863613983259478
["o","w"],0.8980797636632201
["n","p"],0.8778926637124569
["n","o"],0.7996061053668144
["n","s"],0.7516001969473166
["n","t"],0.7090103397341211
["n","w"],0.8542589857213195
["b","p"],0.9470704086656819
["b","f"],0.9470704086656819
["b","c"],0.8023141309699655
["b","k"],0.6166912850812407
["b","e"],0.9116198916789758
["b","o"],0.8687838503200394
["b","n"],0.8249630723781388
["b","s"],0.7535696701132447
["b","t"],0.7287050713934022
["b","w"],0.9234367306745446
["s","t"],0.7333825701624815
["s","w"],0.7791728212703102
["t","w"],0.7602166420482521
["n","s","t"],0.6821762678483506
["n","s","w"],0.7279665189561793
["n","t","w"],0.7090103397341211
["b","p","s"],0.7535696701132447
["b","p","t"],0.7287050713934022
["b","p","w"],0.9234367306745446
["b","f","p"],0.9470704086656819
["b","f","s"],0.7535696701132447
["b","f","t"],0.7287050713934022
["b","f","w"],0.9234367306745446
["b","f","k"],0.6166912850812407
["b","f","o"],0.8687838503200394
["b","f","n"],0.8249630723781388
["b","c","p"],0.8023141309699655
["b","c","s"],0.6176760216642049
["b","c","w"],0.7786804529788282
["b","c","f"],0.8023141309699655
["b","c","o"],0.759478089611029
["b","c","n"],0.6802067946824224
["b","c","e"],0.7668636139832595
["b","k","p"],0.6166912850812407
["b","k","w"],0.6107828655834564
["b","e","p"],0.9116198916789758
["b","e","s"],0.7181191531265386
["b","e","t"],0.6932545544066963
["b","e","w"],0.8879862136878385
["b","e","f"],0.9116198916789758
["b","e","k"],0.6166912850812407
["b","e","o"],0.8333333333333334
["b","e","n"],0.8249630723781388
["b","o","p"],0.8687838503200394
["b","o","s"],0.6829148202855736
["b","o","t"],0.654849827671098
["b","o","w"],0.845150172328902
["b","n","p"],0.8249630723781388
["b","n","s"],0.7023633677991138
["b","n","t"],0.6774987690792713
["b","n","w"],0.8013293943870015
["b","n","o"],0.7466765140324964
["b","s","t"],0.7018709995076317
["b","s","w"],0.7299359921221074
["b","t","w"],0.7287050713934022
["s","t","w"],0.7333825701624815
["p","s","t","w"],0.7333825701624815
["f","p","s","t"],0.7333825701624815
["f","p","s","w"],0.7791728212703102
["f","p","t","w"],0.7602166420482521
["f","k","p","w"],0.6410635155096012
["f","k","o","p"],0.604628261939931
["f","o","p","s"],0.7321516494337764
["f","o","p","t"],0.6863613983259478
["f","o","p","w"],0.8980797636632201
["f","o","s","t"],0.6627277203348104
["f","o","s","w"],0.7085179714426391
["f","o","t","w"],0.6863613983259478
["f","n","p","s"],0.7516001969473166
["f","n","p","t"],0.7090103397341211
["f","n","p","w"],0.8542589857213195
["f","n","s","t"],0.6821762678483506
["f","n","s","w"],0.7279665189561793
["f","n","t","w"],0.7090103397341211
["f","n","o","p"],0.7996061053668144
["f","n","o","s"],0.6809453471196455
["f","n","o","t"],0.6351550960118169
["f","n","o","w"],0.775972427375677
["f","s","t","w"],0.7333825701624815
["c","p","s","w"],0.6432791728212703
["c","p","t","w"],0.6184145741014279
["c","f","p","s"],0.6669128508124077
["c","f","p","t"],0.6184145741014279
["c","f","p","w"],0.8316100443131462
["c","f","s","w"],0.6432791728212703
["c","f","t","w"],0.6184145741014279
["c","f","o","p"],0.8124076809453471
["c","f","o","s"],0.6294928606597735
["c","f","o","w"],0.7887740029542097
["c","f","n","p"],0.7331363860167405
["c","f","n","s"],0.6157065484982767
["c","f","n","w"],0.7095027080256031
["c","f","n","o"],0.690300344657804
["c","e","p","s"],0.6314623338257016
["c","e","p","w"],0.7961595273264401
["c","e","s","w"],0.6078286558345642
["c","e","f","p"],0.8197932053175776
["c","e","f","s"],0.6314623338257016
["c","e","f","w"],0.7961595273264401
["c","e","f","o"],0.7769571639586411
["c","e","f","n"],0.7331363860167405
["c","e","o","p"],0.7769571639586411
["c","e","o","w"],0.7533234859675036
["c","e","n","p"],0.7331363860167405
["c","e","n","s"],0.6157065484982767
["c","e","n","w"],0.7095027080256031
["c","e","n","o"],0.690300344657804
["c","o","p","s"],0.6294928606597735
["c","o","p","w"],0.7887740029542097
["c","o","s","w"],0.6058591826686361
["c","n","p","s"],0.6157065484982767
["c","n","p","w"],0.7095027080256031
["c","n","o","p"],0.690300344657804
["c","n","o","w"],0.6666666666666666
["e","p","s","t"],0.6979320531757754
["e","p","s","w"],0.7437223042836041
["e","p","t","w"],0.724766125061546
["e","f","p","s"],0.7673559822747416
["e","f","p","t"],0.724766125061546
["e","f","p","w"],0.9409158050221565
["e","f","s","t"],0.6979320531757754
["e","f","s","w"],0.7437223042836041
["e","f","t","w"],0.724766125061546
["e","f","k","p"],0.6469719350073855
["e","f","k","w"],0.6410635155096012
["e","f","k","o"],0.604628261939931
["e","f","o","p"],0.8862629246676514
["e","f","o","s"],0.6967011324470704
["e","f","o","t"],0.6509108813392418
["e","f","o","w"],0.8626292466765141
["e","f","n","p"],0.8778926637124569
["e","f","n","s"],0.7516001969473166
["e","f","n","t"],0.7090103397341211
["e","f","n","w"],0.8542589857213195
["e","f","n","o"],0.7996061053668144
["e","k","p","w"],0.6410635155096012
["e","k","o","p"],0.604628261939931
["e","o","p","s"],0.6967011324470704
["e","o","p","t"],0.6509108813392418
["e","o","p","w"],0.8626292466765141
["e","o","s","t"],0.6272772033481043
["e","o","s","w"],0.6730674544559331
["e","o","t","w"],0.6509108813392418
["e","n","p","s"],0.7516001969473166
["e","n","p","t"],0.7090103397341211
["e","n","p","w"],0.8542589857213195
["e","n","s","t"],0.6821762678483506
["e","n","s","w"],0.7279665189561793
["e","n","t","w"],0.7090103397341211
["e","n","o","p"],0.7996061053668144
["e","n","o","s"],0.6809453471196455
["e","n","o","t"],0.6351550960118169
["e","n","o","w"],0.775972427375677
["e","s","t","w"],0.6979320531757754
["o","p","s","t"],0.6627277203348104
["o","p","s","w"],0.7085179714426391
["o","p","t","w"],0.6863613983259478
["o","s","t","w"],0.6627277203348104
["n","p","s","t"],0.6821762678483506
["n","p","s","w"],0.7279665189561793
["n","p","t","w"],0.7090103397341211
["n","o","p","s"],0.6809453471196455
["n","o","p","t"],0.6351550960118169
["n","o","p","w"],0.775972427375677
["n","o","s","t"],0.6115214180206795
["n","o","s","w"],0.6573116691285081
["n","o","t","w"],0.6351550960118169
["n","s","t","w"],0.6821762678483506
["b","p","s","t"],0.7018709995076317
["b","p","s","w"],0.7299359921221074
["b","p","t","w"],0.7287050713934022
["b","f","p","s"],0.7535696701132447
["b","f","p","t"],0.7287050713934022
["b","f","p","w"],0.9234367306745446
["b","f","s","t"],0.7018709995076317
["b","f","s","w"],0.7299359921221074
["b","f","t","w"],0.7287050713934022
["b","f","k","p"],0.6166912850812407
["b","f","k","w"],0.6107828655834564
["b","f","o","p"],0.8687838503200394
["b","f","o","s"],0.6829148202855736
["b","f","o","t"],0.654849827671098
["b","f","o","w"],0.845150172328902
["b","f","n","p"],0.8249630723781388
["b","f","n","s"],0.7023633677991138
["b","f","n","t"],0.6774987690792713
["b","f","n","w"],0.8013293943870015
["b","f","n","o"],0.7466765140324964
["b","c","p","s"],0.6176760216642049
["b","c","p","w"],0.7786804529788282
["b","c","f","p"],0.8023141309699655
["b","c","f","s"],0.6176760216642049
["b","c","f","w"],0.7786804529788282
["b","c","f","o"],0.759478089611029
["b","c","f","n"],0.6802067946824224
["b","c","o","p"],0.759478089611029
["b","c","o","w"],0.7358444116198917
["b","c","n","p"],0.6802067946824224
["b","c","n","w"],0.656573116691285
["b","c","n","o"],0.6373707533234859
["b","c","e","p"],0.7668636139832595
["b","c","e","w"],0.7432299359921221
["b","c","e","f"],0.7668636139832595
["b","c","e","o"],0.724027572624323
["b","c","e","n"],0.6802067946824224
["b","k","p","w"],0.6107828655834564
["b","e","p","s"],0.7181191531265386
["b","e","p","t"],0.6932545544066963
["b","e","p","w"],0.8879862136878385
["b","e","s","t"],0.6664204825209257
["b","e","s","w"],0.6944854751354013
["b","e","t","w"],0.6932545544066963
["b","e","f","p"],0.9116198916789758
["b","e","f","s"],0.7181191531265386
["b","e","f","t"],0.6932545544066963
["b","e","f","w"],0.8879862136878385
["b","e","f","k"],0.6166912850812407
["b","e","f","o"],0.8333333333333334
["b","e","f","n"],0.8249630723781388
["b","e","k","p"],0.6166912850812407
["b","e","k","w"],0.6107828655834564
["b","e","o","p"],0.8333333333333334
["b","e","o","s"],0.6474643032988675
["b","e","o","t"],0.6193993106843919
["b","e","o","w"],0.809699655342196
["b","e","n","p"],0.8249630723781388
["b","e","n","s"],0.7023633677991138
["b","e","n","t"],0.6774987690792713
["b","e","n","w"],0.8013293943870015
["b","e","n","o"],0.7466765140324964
["b","o","p","s"],0.6829148202855736
["b","o","p","t"],0.654849827671098
["b","o","p","w"],0.845150172328902
["b","o","s","t"],0.6312161496799606
["b","o","s","w"],0.6592811422944362
["b","o","t","w"],0.654849827671098
["b","n","p","s"],0.7023633677991138
["b","n","p","t"],0.6774987690792713
["b","n","p","w"],0.8013293943870015
["b","n","s","t"],0.6506646971935007
["b","n","s","w"],0.6787296898079763
["b","n","t","w"],0.6774987690792713
["b","n","o","p"],0.7466765140324964
["b","n","o","s"],0.6317085179714427
["b","n","o","t"],0.603643525356967
["b","n","o","w"],0.7230428360413589
["b","s","t","w"],0.7018709995076317
["f","p","s","t","w"],0.7333825701624815
["f","o","p","s","t"],0.6627277203348104
["f","o","p","s","w"],0.7085179714426391
["f","o","p","t","w"],0.6863613983259478
["f","o","s","t","w"],0.6627277203348104
["f","n","p","s","t"],0.6821762678483506
["f","n","p","s","w"],0.7279665189561793
["f","n","p","t","w"],0.7090103397341211
["f","n","s","t","w"],0.6821762678483506
["f","n","o","p","s"],0.6809453471196455
["f","n","o","p","t"],0.6351550960118169
["f","n","o","p","w"],0.775972427375677
["f","n","o","s","t"],0.6115214180206795
["f","n","o","s","w"],0.6573116691285081
["f","n","o","t","w"],0.6351550960118169
["c","f","p","s","w"],0.6432791728212703
["c","f","p","t","w"],0.6184145741014279
["c","f","o","p","s"],0.6294928606597735
["c","f","o","p","w"],0.7887740029542097
["c","f","o","s","w"],0.6058591826686361
["c","f","n","p","s"],0.6157065484982767
["c","f","n","p","w"],0.7095027080256031
["c","f","n","o","p"],0.690300344657804
["c","f","n","o","w"],0.6666666666666666
["c","e","p","s","w"],0.6078286558345642
["c","e","f","p","s"],0.6314623338257016
["c","e","f","p","w"],0.7961595273264401
["c","e","f","s","w"],0.6078286558345642
["c","e","f","o","p"],0.7769571639586411
["c","e","f","o","w"],0.7533234859675036
["c","e","f","n","p"],0.7331363860167405
["c","e","f","n","s"],0.6157065484982767
["c","e","f","n","w"],0.7095027080256031
["c","e","f","n","o"],0.690300344657804
["c","e","o","p","w"],0.7533234859675036
["c","e","n","p","s"],0.6157065484982767
["c","e","n","p","w"],0.7095027080256031
["c","e","n","o","p"],0.690300344657804
["c","e","n","o","w"],0.6666666666666666
["c","o","p","s","w"],0.6058591826686361
["c","n","o","p","w"],0.6666666666666666
["e","p","s","t","w"],0.6979320531757754
["e","f","p","s","t"],0.6979320531757754
["e","f","p","s","w"],0.7437223042836041
["e","f","p","t","w"],0.724766125061546
["e","f","s","t","w"],0.6979320531757754
["e","f","k","p","w"],0.6410635155096012
["e","f","k","o","p"],0.604628261939931
["e","f","o","p","s"],0.6967011324470704
["e","f","o","p","t"],0.6509108813392418
["e","f","o","p","w"],0.8626292466765141
["e","f","o","s","t"],0.6272772033481043
["e","f","o","s","w"],0.6730674544559331
["e","f","o","t","w"],0.6509108813392418
["e","f","n","p","s"],0.7516001969473166
["e","f","n","p","t"],0.7090103397341211
["e","f","n","p","w"],0.8542589857213195
["e","f","n","s","t"],0.6821762678483506
["e","f","n","s","w"],0.7279665189561793
["e","f","n","t","w"],0.7090103397341211
["e","f","n","o","p"],0.7996061053668144
["e","f","n","o","s"],0.6809453471196455
["e","f","n","o","t"],0.6351550960118169
["e","f","n","o","w"],0.775972427375677
["e","o","p","s","t"],0.6272772033481043
["e","o","p","s","w"],0.6730674544559331
["e","o","p","t","w"],0.6509108813392418
["e","o","s","t","w"],0.6272772033481043
["e","n","p","s","t"],0.6821762678483506
["e","n","p","s","w"],0.7279665189561793
["e","n","p","t","w"],0.7090103397341211
["e","n","s","t","w"],0.6821762678483506
["e","n","o","p","s"],0.6809453471196455
["e","n","o","p","t"],0.6351550960118169
["e","n","o","p","w"],0.775972427375677
["e","n","o","s","t"],0.6115214180206795
["e","n","o","s","w"],0.6573116691285081
["e","n","o","t","w"],0.6351550960118169
["o","p","s","t","w"],0.6627277203348104
["n","p","s","t","w"],0.6821762678483506
["n","o","p","s","t"],0.6115214180206795
["n","o","p","s","w"],0.6573116691285081
["n","o","p","t","w"],0.6351550960118169
["n","o","s","t","w"],0.6115214180206795
["b","p","s","t","w"],0.7018709995076317
["b","f","p","s","t"],0.7018709995076317
["b","f","p","s","w"],0.7299359921221074
["b","f","p","t","w"],0.7287050713934022
["b","f","s","t","w"],0.7018709995076317
["b","f","k","p","w"],0.6107828655834564
["b","f","o","p","s"],0.6829148202855736
["b","f","o","p","t"],0.654849827671098
["b","f","o","p","w"],0.845150172328902
["b","f","o","s","t"],0.6312161496799606
["b","f","o","s","w"],0.6592811422944362
["b","f","o","t","w"],0.654849827671098
["b","f","n","p","s"],0.7023633677991138
["b","f","n","p","t"],0.6774987690792713
["b","f","n","p","w"],0.8013293943870015
["b","f","n","s","t"],0.6506646971935007
["b","f","n","s","w"],0.6787296898079763
["b","f","n","t","w"],0.6774987690792713
["b","f","n","o","p"],0.7466765140324964
["b","f","n","o","s"],0.6317085179714427
["b","f","n","o","t"],0.603643525356967
["b","f","n","o","w"],0.7230428360413589
["b","c","f","p","s"],0.6176760216642049
["b","c","f","p","w"],0.7786804529788282
["b","c","f","o","p"],0.759478089611029
["b","c","f","o","w"],0.7358444116198917
["b","c","f","n","p"],0.6802067946824224
["b","c","f","n","w"],0.656573116691285
["b","c","f","n","o"],0.6373707533234859
["b","c","o","p","w"],0.7358444116198917
["b","c","n","p","w"],0.656573116691285
["b","c","n","o","p"],0.6373707533234859
["b","c","n","o","w"],0.6137370753323486
["b","c","e","p","w"],0.7432299359921221
["b","c","e","f","p"],0.7668636139832595
["b","c","e","f","w"],0.7432299359921221
["b","c","e","f","o"],0.724027572624323
["b","c","e","f","n"],0.6802067946824224
["b","c","e","o","p"],0.724027572624323
["b","c","e","o","w"],0.7003938946331856
["b","c","e","n","p"],0.6802067946824224
["b","c","e","n","w"],0.656573116691285
["b","c","e","n","o"],0.6373707533234859
["b","e","p","s","t"],0.6664204825209257
["b","e","p","s","w"],0.6944854751354013
["b","e","p","t","w"],0.6932545544066963
["b","e","s","t","w"],0.6664204825209257
["b","e","f","p","s"],0.7181191531265386
["b","e","f","p","t"],0.6932545544066963
["b","e","f","p","w"],0.8879862136878385
["b","e","f","s","t"],0.6664204825209257
["b","e","f","s","w"],0.6944854751354013
["b","e","f","t","w"],0.6932545544066963
["b","e","f","k","p"],0.6166912850812407
["b","e","f","k","w"],0.6107828655834564
["b","e","f","o","p"],0.8333333333333334
["b","e","f","o","s"],0.6474643032988675
["b","e","f","o","t"],0.6193993106843919
["b","e","f","o","w"],0.809699655342196
["b","e","f","n","p"],0.8249630723781388
["b","e","f","n","s"],0.7023633677991138
["b","e","f","n","t"],0.6774987690792713
["b","e","f","n","w"],0.8013293943870015
["b","e","f","n","o"],0.7466765140324964
["b","e","k","p","w"],0.6107828655834564
["b","e","o","p","s"],0.6474643032988675
["b","e","o","p","t"],0.6193993106843919
["b","e","o","p","w"],0.809699655342196
["b","e","o","s","w"],0.6238306253077301
["b","e","o","t","w"],0.6193993106843919
["b","e","n","p","s"],0.7023633677991138
["b","e","n","p","t"],0.6774987690792713
["b","e","n","p","w"],0.8013293943870015
["b","e","n","s","t"],0.6506646971935007
["b","e","n","s","w"],0.6787296898079763
["b","e","n","t","w"],0.6774987690792713
["b","e","n","o","p"],0.7466765140324964
["b","e","n","o","s"],0.6317085179714427
["b","e","n","o","t"],0.603643525356967
["b","e","n","o","w"],0.7230428360413589
["b","o","p","s","t"],0.6312161496799606
["b","o","p","s","w"],0.6592811422944362
["b","o","p","t","w"],0.654849827671098
["b","o","s","t","w"],0.6312161496799606
["b","n","p","s","t"],0.6506646971935007
["b","n","p","s","w"],0.6787296898079763
["b","n","p","t","w"],0.6774987690792713
["b","n","s","t","w"],0.6506646971935007
["b","n","o","p","s"],0.6317085179714427
["b","n","o","p","t"],0.603643525356967
["b","n","o","p","w"],0.7230428360413589
["b","n","o","s","w"],0.6080748399803053
["b","n","o","t","w"],0.603643525356967
["f","o","p","s","t","w"],0.6627277203348104
["f","n","p","s","t","w"],0.6821762678483506
["f","n","o","p","s","t"],0.6115214180206795
["f","n","o","p","s","w"],0.6573116691285081
["f","n","o","p","t","w"],0.6351550960118169
["f","n","o","s","t","w"],0.6115214180206795
["c","f","o","p","s","w"],0.6058591826686361
["c","f","n","o","p","w"],0.6666666666666666
["c","e","f","p","s","w"],0.6078286558345642
["c","e","f","o","p","w"],0.7533234859675036
["c","e","f","n","p","s"],0.6157065484982767
["c","e","f","n","p","w"],0.7095027080256031
["c","e","f","n","o","p"],0.690300344657804
["c","e","f","n","o","w"],0.6666666666666666
["c","e","n","o","p","w"],0.6666666666666666
["e","f","p","s","t","w"],0.6979320531757754
["e","f","o","p","s","t"],0.6272772033481043
["e","f","o","p","s","w"],0.6730674544559331
["e","f","o","p","t","w"],0.6509108813392418
["e","f","o","s","t","w"],0.6272772033481043
["e","f","n","p","s","t"],0.6821762678483506
["e","f","n","p","s","w"],0.7279665189561793
["e","f","n","p","t","w"],0.7090103397341211
["e","f","n","s","t","w"],0.6821762678483506
["e","f","n","o","p","s"],0.6809453471196455
["e","f","n","o","p","t"],0.6351550960118169
["e","f","n","o","p","w"],0.775972427375677
["e","f","n","o","s","t"],0.6115214180206795
["e","f","n","o","s","w"],0.6573116691285081
["e","f","n","o","t","w"],0.6351550960118169
["e","o","p","s","t","w"],0.6272772033481043
["e","n","p","s","t","w"],0.6821762678483506
["e","n","o","p","s","t"],0.6115214180206795
["e","n","o","p","s","w"],0.6573116691285081
["e","n","o","p","t","w"],0.6351550960118169
["e","n","o","s","t","w"],0.6115214180206795
["n","o","p","s","t","w"],0.6115214180206795
["b","f","p","s","t","w"],0.7018709995076317
["b","f","o","p","s","t"],0.6312161496799606
["b","f","o","p","s","w"],0.6592811422944362
["b","f","o","p","t","w"],0.654849827671098
["b","f","o","s","t","w"],0.6312161496799606
["b","f","n","p","s","t"],0.6506646971935007
["b","f","n","p","s","w"],0.6787296898079763
["b","f","n","p","t","w"],0.6774987690792713
["b","f","n","s","t","w"],0.6506646971935007
["b","f","n","o","p","s"],0.6317085179714427
["b","f","n","o","p","t"],0.603643525356967
["b","f","n","o","p","w"],0.7230428360413589
["b","f","n","o","s","w"],0.6080748399803053
["b","f","n","o","t","w"],0.603643525356967
["b","c","f","o","p","w"],0.7358444116198917
["b","c","f","n","p","w"],0.656573116691285
["b","c","f","n","o","p"],0.6373707533234859
["b","c","f","n","o","w"],0.6137370753323486
["b","c","n","o","p","w"],0.6137370753323486
["b","c","e","f","p","w"],0.7432299359921221
["b","c","e","f","o","p"],0.724027572624323
["b","c","e","f","o","w"],0.7003938946331856
["b","c","e","f","n","p"],0.6802067946824224
["b","c","e","f","n","w"],0.656573116691285
["b","c","e","f","n","o"],0.6373707533234859
["b","c","e","o","p","w"],0.7003938946331856
["b","c","e","n","p","w"],0.656573116691285
["b","c","e","n","o","p"],0.6373707533234859
["b","c","e","n","o","w"],0.6137370753323486
["b","e","p","s","t","w"],0.6664204825209257
["b","e","f","p","s","t"],0.6664204825209257
["b","e","f","p","s","w"],0.6944854751354013
["b","e","f","p","t","w"],0.6932545544066963
["b","e","f","s","t","w"],0.6664204825209257
["b","e","f","k","p","w"],0.6107828655834564
["b","e","f","o","p","s"],0.6474643032988675
["b","e","f","o","p","t"],0.6193993106843919
["b","e","f","o","p","w"],0.809699655342196
["b","e","f","o","s","w"],0.6238306253077301
["b","e","f","o","t","w"],0.6193993106843919
["b","e","f","n","p","s"],0.7023633677991138
["b","e","f","n","p","t"],0.6774987690792713
["b","e","f","n","p","w"],0.8013293943870015
["b","e","f","n","s","t"],0.6506646971935007
["b","e","f","n","s","w"],0.6787296898079763
["b","e","f","n","t","w"],0.6774987690792713
["b","e","f","n","o","p"],0.7466765140324964
["b","e","f","n","o","s"],0.6317085179714427
["b","e","f","n","o","t"],0.603643525356967
["b","e","f","n","o","w"],0.7230428360413589
["b","e","o","p","s","w"],0.6238306253077301
["b","e","o","p","t","w"],0.6193993106843919
["b","e","n","p","s","t"],0.6506646971935007
["b","e","n","p","s","w"],0.6787296898079763
["b","e","n","p","t","w"],0.6774987690792713
["b","e","n","s","t","w"],0.6506646971935007
["b","e","n","o","p","s"],0.6317085179714427
["b","e","n","o","p","t"],0.603643525356967
["b","e","n","o","p","w"],0.7230428360413589
["b","e","n","o","s","w"],0.6080748399803053
["b","e","n","o","t","w"],0.603643525356967
["b","o","p","s","t","w"],0.6312161496799606
["b","n","p","s","t","w"],0.6506646971935007
["b","n","o","p","s","w"],0.6080748399803053
["b","n","o","p","t","w"],0.603643525356967
["f","n","o","p","s","t","w"],0.6115214180206795
["c","e","f","n","o","p","w"],0.6666666666666666
["e","f","o","p","s","t","w"],0.6272772033481043
["e","f","n","p","s","t","w"],0.6821762678483506
["e","f","n","o","p","s","t"],0.6115214180206795
["e","f","n","o","p","s","w"],0.6573116691285081
["e","f","n","o","p","t","w"],0.6351550960118169
["e","f","n","o","s","t","w"],0.6115214180206795
["e","n","o","p","s","t","w"],0.6115214180206795
["b","f","o","p","s","t","w"],0.6312161496799606
["b","f","n","p","s","t","w"],0.6506646971935007
["b","f","n","o","p","s","w"],0.6080748399803053
["b","f","n","o","p","t","w"],0.603643525356967
["b","c","f","n","o","p","w"],0.6137370753323486
["b","c","e","f","o","p","w"],0.7003938946331856
["b","c","e","f","n","p","w"],0.656573116691285
