"itemSet","support"
604,16059
["p"],1
["f"],1
["c"],0.8552437223042836
["e"],0.9645494830132939
["o"],0.9217134416543574
["n"],0.8778926637124569
["b"],0.9470704086656819
["s"],0.8028064992614475
["t"],0.7602166420482521
["w"],0.9763663220088626
["f","p"],1
["c","p"],0.8552437223042836
["e","p"],0.9645494830132939
["o","p"],0.9217134416543574
["n","p"],0.8778926637124569
["b","p"],0.9470704086656819
["p","s"],0.8028064992614475
["p","t"],0.7602166420482521
["p","w"],0.9763663220088626
["c","f"],0.8552437223042836
["e","f"],0.9645494830132939
["f","o"],0.9217134416543574
["f","n"],0.8778926637124569
["b","f"],0.9470704086656819
["f","s"],0.8028064992614475
["f","t"],0.7602166420482521
["f","w"],0.9763663220088626
["c","e"],0.8197932053175776
["c","o"],0.8124076809453471
["c","n"],0.7331363860167405
["b","c"],0.8023141309699655
["c","w"],0.8316100443131462
["e","o"],0.8862629246676514
["e","n"],0.8778926637124569
["b","e"],0.9116198916789758
["e","s"],0.7673559822747416
["e","t"],0.724766125061546
["e","w"],0.9409158050221565
["n","o"],0.7996061053668144
["b","o"],0.8687838503200394
["o","s"],0.7321516494337764
["o","w"],0.8980797636632201
["b","n"],0.8249630723781388
["n","s"],0.7516001969473166
["n","t"],0.7090103397341211
["n","w"],0.8542589857213195
["b","s"],0.7535696701132447
["b","t"],0.7287050713934022
["b","w"],0.9234367306745446
["s","t"],0.7333825701624815
["s","w"],0.7791728212703102
["t","w"],0.7602166420482521
["b","f","n","p"],0.8249630723781388
["f","n","p","s"],0.7516001969473166
["f","n","p","t"],0.7090103397341211
["f","n","p","w"],0.8542589857213195
["b","f","p","s"],0.7535696701132447
["b","f","p","t"],0.7287050713934022
["b","f","p","w"],0.9234367306745446
["f","p","s","t"],0.7333825701624815
["f","p","s","w"],0.7791728212703102
["f","p","t","w"],0.7602166420482521
["c","e","o","p"],0.7769571639586411
["c","e","n","p"],0.7331363860167405
["b","c","e","p"],0.7668636139832595
["c","e","p","w"],0.7961595273264401
["b","c","o","p"],0.759478089611029
["c","o","p","w"],0.7887740029542097
["c","n","p","w"],0.7095027080256031
["b","c","p","w"],0.7786804529788282
["e","n","o","p"],0.7996061053668144
["b","e","o","p"],0.8333333333333334
["e","o","p","w"],0.8626292466765141
["b","e","n","p"],0.8249630723781388
["e","n","p","s"],0.7516001969473166
["e","n","p","t"],0.7090103397341211
["e","n","p","w"],0.8542589857213195
["b","e","p","s"],0.7181191531265386
["b","e","p","w"],0.8879862136878385
["e","p","s","w"],0.7437223042836041
["e","p","t","w"],0.724766125061546
["b","n","o","p"],0.7466765140324964
["n","o","p","w"],0.775972427375677
["b","o","p","w"],0.845150172328902
["o","p","s","w"],0.7085179714426391
["b","n","p","s"],0.7023633677991138
["b","n","p","w"],0.8013293943870015
["n","p","s","w"],0.7279665189561793
["n","p","t","w"],0.7090103397341211
["b","p","s","t"],0.7018709995076317
["b","p","s","w"],0.7299359921221074
["b","p","t","w"],0.7287050713934022
["p","s","t","w"],0.7333825701624815
["c","e","f","o"],0.7769571639586411
["c","e","f","n"],0.7331363860167405
["b","c","e","f"],0.7668636139832595
["c","e","f","w"],0.7961595273264401
["b","c","f","o"],0.759478089611029
["c","f","o","w"],0.7887740029542097
["c","f","n","w"],0.7095027080256031
["b","c","f","w"],0.7786804529788282
["e","f","n","o"],0.7996061053668144
["b","e","f","o"],0.8333333333333334
["e","f","o","w"],0.8626292466765141
["b","e","f","n"],0.8249630723781388
["e","f","n","s"],0.7516001969473166
["e","f","n","t"],0.7090103397341211
["e","f","n","w"],0.8542589857213195
["b","e","f","s"],0.7181191531265386
["b","e","f","w"],0.8879862136878385
["e","f","s","w"],0.7437223042836041
["e","f","t","w"],0.724766125061546
["b","f","n","o"],0.7466765140324964
["f","n","o","w"],0.775972427375677
["b","f","o","w"],0.845150172328902
["f","o","s","w"],0.7085179714426391
["b","f","n","s"],0.7023633677991138
["b","f","n","w"],0.8013293943870015
["f","n","s","w"],0.7279665189561793
["f","n","t","w"],0.7090103397341211
["b","f","s","t"],0.7018709995076317
["b","f","s","w"],0.7299359921221074
["b","f","t","w"],0.7287050713934022
["f","s","t","w"],0.7333825701624815
["b","c","e","o"],0.724027572624323
["c","e","o","w"],0.7533234859675036
["c","e","n","w"],0.7095027080256031
["b","c","e","w"],0.7432299359921221
["b","c","o","w"],0.7358444116198917
["b","e","n","o"],0.7466765140324964
["e","n","o","w"],0.775972427375677
["b","e","o","w"],0.809699655342196
["b","e","n","s"],0.7023633677991138
["b","e","n","w"],0.8013293943870015
["e","n","s","w"],0.7279665189561793
["e","n","t","w"],0.7090103397341211
["b","n","o","w"],0.7230428360413589
["b","s","t","w"],0.7018709995076317
["c","e","f","o","p"],0.7769571639586411
["c","e","f","n","p"],0.7331363860167405
["b","c","e","f","p"],0.7668636139832595
["c","e","f","p","w"],0.7961595273264401
["b","c","f","o","p"],0.759478089611029
["c","f","o","p","w"],0.7887740029542097
["c","f","n","p","w"],0.7095027080256031
["b","c","f","p","w"],0.7786804529788282
["e","f","n","o","p"],0.7996061053668144
["b","e","f","o","p"],0.8333333333333334
["e","f","o","p","w"],0.8626292466765141
["b","e","f","n","p"],0.8249630723781388
["e","f","n","p","s"],0.7516001969473166
["e","f","n","p","t"],0.7090103397341211
["e","f","n","p","w"],0.8542589857213195
["b","e","f","p","s"],0.7181191531265386
["b","e","f","p","w"],0.8879862136878385
["e","f","p","s","w"],0.7437223042836041
["e","f","p","t","w"],0.724766125061546
["b","f","n","o","p"],0.7466765140324964
["f","n","o","p","w"],0.775972427375677
["b","f","o","p","w"],0.845150172328902
["f","o","p","s","w"],0.7085179714426391
["b","f","n","p","s"],0.7023633677991138
["b","f","n","p","w"],0.8013293943870015
["f","n","p","s","w"],0.7279665189561793
["f","n","p","t","w"],0.7090103397341211
["b","f","p","s","t"],0.7018709995076317
["b","f","p","s","w"],0.7299359921221074
["b","f","p","t","w"],0.7287050713934022
["f","p","s","t","w"],0.7333825701624815
["b","c","e","o","p"],0.724027572624323
["c","e","o","p","w"],0.7533234859675036
["c","e","n","p","w"],0.7095027080256031
["b","c","e","p","w"],0.7432299359921221
["b","c","o","p","w"],0.7358444116198917
["b","e","n","o","p"],0.7466765140324964
["e","n","o","p","w"],0.775972427375677
["b","e","o","p","w"],0.809699655342196
["b","e","n","p","s"],0.7023633677991138
["b","e","n","p","w"],0.8013293943870015
["e","n","p","s","w"],0.7279665189561793
["e","n","p","t","w"],0.7090103397341211
["b","n","o","p","w"],0.7230428360413589
["b","p","s","t","w"],0.7018709995076317
["b","c","e","f","o"],0.724027572624323
["c","e","f","o","w"],0.7533234859675036
["c","e","f","n","w"],0.7095027080256031
["b","c","e","f","w"],0.7432299359921221
["b","c","f","o","w"],0.7358444116198917
["b","e","f","n","o"],0.7466765140324964
["e","f","n","o","w"],0.775972427375677
["b","e","f","o","w"],0.809699655342196
["b","e","f","n","s"],0.7023633677991138
["b","e","f","n","w"],0.8013293943870015
["e","f","n","s","w"],0.7279665189561793
["e","f","n","t","w"],0.7090103397341211
["b","f","n","o","w"],0.7230428360413589
["b","f","s","t","w"],0.7018709995076317
["b","c","e","o","w"],0.7003938946331856
["b","e","n","o","w"],0.7230428360413589
["b","c","e","f","o","p"],0.724027572624323
["c","e","f","o","p","w"],0.7533234859675036
["c","e","f","n","p","w"],0.7095027080256031
["b","c","e","f","p","w"],0.7432299359921221
["b","c","f","o","p","w"],0.7358444116198917
["b","e","f","n","o","p"],0.7466765140324964
["e","f","n","o","p","w"],0.775972427375677
["b","e","f","o","p","w"],0.809699655342196
["b","e","f","n","p","s"],0.7023633677991138
["b","e","f","n","p","w"],0.8013293943870015
["e","f","n","p","s","w"],0.7279665189561793
["e","f","n","p","t","w"],0.7090103397341211
["b","f","n","o","p","w"],0.7230428360413589
["b","f","p","s","t","w"],0.7018709995076317
["b","c","e","o","p","w"],0.7003938946331856
["b","e","n","o","p","w"],0.7230428360413589
["b","c","e","f","o","w"],0.7003938946331856
["b","e","f","n","o","w"],0.7230428360413589
["b","c","e","f","o","p","w"],0.7003938946331856
["b","e","f","n","o","p","w"],0.7230428360413589
