"itemSet","support"
222,13636
["d"],0.5256
["e"],0.53
["b"],0.5188
["c"],0.5256
["j"],0.5214
["m"],0.53
["i"],0.5262
["l"],0.5246
["g"],0.5332
["h"],0.5328
["f"],0.5392
["k"],0.5078
["o"],0.5162
["u"],0.5256
["p"],0.5282
["s"],0.525
["r"],0.5268
["n"],0.5276
["t"],0.5126
["q"],0.5304
["v"],0.5268
["w"],0.53
["x"],0.526
["y"],0.521
["z"],0.5294
["k","z"],0.3318
["o","u"],0.3282
["o","p"],0.335
["o","s"],0.3308
["o","r"],0.3342
["n","o"],0.3278
["o","t"],0.3242
["o","q"],0.3366
["o","v"],0.3312
["o","w"],0.3368
["o","x"],0.3252
["o","y"],0.3338
["o","z"],0.3356
["p","u"],0.342
["s","u"],0.3404
["r","u"],0.3346
["n","u"],0.3394
["t","u"],0.3358
["q","u"],0.346
["u","v"],0.3374
["u","w"],0.3402
["u","x"],0.3418
["u","y"],0.3328
["u","z"],0.339
["p","s"],0.3422
["p","r"],0.3412
["n","p"],0.3398
["p","t"],0.3368
["p","q"],0.3356
["p","v"],0.3418
["p","w"],0.3416
["p","x"],0.3374
["p","y"],0.334
["p","z"],0.3456
["r","s"],0.3378
["n","s"],0.3434
["s","t"],0.3342
["q","s"],0.34
["s","v"],0.3404
["s","w"],0.3434
["s","x"],0.3414
["s","y"],0.3414
["s","z"],0.3414
["n","r"],0.3376
["r","t"],0.337
["q","r"],0.3408
["r","v"],0.339
["r","w"],0.3384
["r","x"],0.338
["r","y"],0.3362
["r","z"],0.3462
["n","t"],0.3344
["n","q"],0.3432
["n","v"],0.3378
["n","w"],0.3388
["n","x"],0.3432
["n","y"],0.3328
["n","z"],0.342
["q","t"],0.3346
["t","v"],0.3342
["t","w"],0.3344
["t","x"],0.3346
["t","y"],0.329
["t","z"],0.3394
["q","v"],0.3384
["q","w"],0.3454
["q","x"],0.3428
["q","y"],0.3444
["q","z"],0.342
["v","w"],0.3412
["v","x"],0.3378
["v","y"],0.3438
["v","z"],0.3444
["w","x"],0.3414
["w","y"],0.3402
["w","z"],0.347
["x","y"],0.3382
["x","z"],0.344
["y","z"],0.3432
