"itemSet","support"
700,53889
["p"],1
["s"],0.8028064992614475
["n"],0.8778926637124569
["t"],0.7602166420482521
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["w"],0.9763663220088626
["o"],0.9217134416543574
["b"],0.9470704086656819
["p","s"],0.8028064992614475
["n","p"],0.8778926637124569
["p","t"],0.7602166420482521
["f","p"],1
["c","p"],0.8552437223042836
["k","p"],0.6469719350073855
["e","p"],0.9645494830132939
["p","w"],0.9763663220088626
["o","p"],0.9217134416543574
["b","p"],0.9470704086656819
["n","s"],0.7516001969473166
["s","t"],0.7333825701624815
["f","s"],0.8028064992614475
["c","s"],0.6669128508124077
["e","s"],0.7673559822747416
["s","w"],0.7791728212703102
["o","s"],0.7321516494337764
["b","s"],0.7535696701132447
["n","t"],0.7090103397341211
["f","n"],0.8778926637124569
["c","n"],0.7331363860167405
["e","n"],0.8778926637124569
["n","w"],0.8542589857213195
["n","o"],0.7996061053668144
["b","n"],0.8249630723781388
["f","t"],0.7602166420482521
["c","t"],0.6184145741014279
["e","t"],0.724766125061546
["t","w"],0.7602166420482521
["o","t"],0.6863613983259478
["b","t"],0.7287050713934022
["c","f"],0.8552437223042836
["f","k"],0.6469719350073855
["e","f"],0.9645494830132939
["f","w"],0.9763663220088626
["f","o"],0.9217134416543574
["b","f"],0.9470704086656819
["c","e"],0.8197932053175776
["c","w"],0.8316100443131462
["c","o"],0.8124076809453471
["b","c"],0.8023141309699655
["e","k"],0.6469719350073855
["k","w"],0.6410635155096012
["k","o"],0.604628261939931
["b","k"],0.6166912850812407
["e","w"],0.9409158050221565
["e","o"],0.8862629246676514
["b","e"],0.9116198916789758
["o","w"],0.8980797636632201
["b","w"],0.9234367306745446
["b","o"],0.8687838503200394
["e","k","w"],0.6410635155096012
["e","k","o"],0.604628261939931
["b","e","k"],0.6166912850812407
["b","k","w"],0.6107828655834564
["e","o","w"],0.8626292466765141
["b","e","w"],0.8879862136878385
["b","e","o"],0.8333333333333334
["b","o","w"],0.845150172328902
["n","p","s","t"],0.6821762678483506
["f","n","p","s"],0.7516001969473166
["c","n","p","s"],0.6157065484982767
["e","n","p","s"],0.7516001969473166
["n","p","s","w"],0.7279665189561793
["n","o","p","s"],0.6809453471196455
["b","n","p","s"],0.7023633677991138
["f","p","s","t"],0.7333825701624815
["e","p","s","t"],0.6979320531757754
["p","s","t","w"],0.7333825701624815
["o","p","s","t"],0.6627277203348104
["b","p","s","t"],0.7018709995076317
["c","f","p","s"],0.6669128508124077
["e","f","p","s"],0.7673559822747416
["f","p","s","w"],0.7791728212703102
["f","o","p","s"],0.7321516494337764
["b","f","p","s"],0.7535696701132447
["c","e","p","s"],0.6314623338257016
["c","p","s","w"],0.6432791728212703
["c","o","p","s"],0.6294928606597735
["b","c","p","s"],0.6176760216642049
["e","p","s","w"],0.7437223042836041
["e","o","p","s"],0.6967011324470704
["b","e","p","s"],0.7181191531265386
["o","p","s","w"],0.7085179714426391
["b","p","s","w"],0.7299359921221074
["b","o","p","s"],0.6829148202855736
["f","n","p","t"],0.7090103397341211
["e","n","p","t"],0.7090103397341211
["n","p","t","w"],0.7090103397341211
["n","o","p","t"],0.6351550960118169
["b","n","p","t"],0.6774987690792713
["c","f","n","p"],0.7331363860167405
["e","f","n","p"],0.8778926637124569
["f","n","p","w"],0.8542589857213195
["f","n","o","p"],0.7996061053668144
["b","f","n","p"],0.8249630723781388
["c","e","n","p"],0.7331363860167405
["c","n","p","w"],0.7095027080256031
["c","n","o","p"],0.690300344657804
["b","c","n","p"],0.6802067946824224
["e","n","p","w"],0.8542589857213195
["e","n","o","p"],0.7996061053668144
["b","e","n","p"],0.8249630723781388
["n","o","p","w"],0.775972427375677
["b","n","p","w"],0.8013293943870015
["b","n","o","p"],0.7466765140324964
["c","f","p","t"],0.6184145741014279
["e","f","p","t"],0.724766125061546
["f","p","t","w"],0.7602166420482521
["f","o","p","t"],0.6863613983259478
["b","f","p","t"],0.7287050713934022
["c","p","t","w"],0.6184145741014279
["e","p","t","w"],0.724766125061546
["e","o","p","t"],0.6509108813392418
["b","e","p","t"],0.6932545544066963
["o","p","t","w"],0.6863613983259478
["b","p","t","w"],0.7287050713934022
["b","o","p","t"],0.654849827671098
["c","e","f","p"],0.8197932053175776
["c","f","p","w"],0.8316100443131462
["c","f","o","p"],0.8124076809453471
["b","c","f","p"],0.8023141309699655
["e","f","k","p"],0.6469719350073855
["f","k","p","w"],0.6410635155096012
["f","k","o","p"],0.604628261939931
["b","f","k","p"],0.6166912850812407
["e","f","p","w"],0.9409158050221565
["e","f","o","p"],0.8862629246676514
["b","e","f","p"],0.9116198916789758
["f","o","p","w"],0.8980797636632201
["b","f","p","w"],0.9234367306745446
["b","f","o","p"],0.8687838503200394
["c","e","p","w"],0.7961595273264401
["c","e","o","p"],0.7769571639586411
["b","c","e","p"],0.7668636139832595
["c","o","p","w"],0.7887740029542097
["b","c","p","w"],0.7786804529788282
["b","c","o","p"],0.759478089611029
["e","k","p","w"],0.6410635155096012
["e","k","o","p"],0.604628261939931
["b","e","k","p"],0.6166912850812407
["b","k","p","w"],0.6107828655834564
["e","o","p","w"],0.8626292466765141
["b","e","p","w"],0.8879862136878385
["b","e","o","p"],0.8333333333333334
["b","o","p","w"],0.845150172328902
["f","n","s","t"],0.6821762678483506
["e","n","s","t"],0.6821762678483506
["n","s","t","w"],0.6821762678483506
["n","o","s","t"],0.6115214180206795
["b","n","s","t"],0.6506646971935007
["c","f","n","s"],0.6157065484982767
["e","f","n","s"],0.7516001969473166
["f","n","s","w"],0.7279665189561793
["f","n","o","s"],0.6809453471196455
["b","f","n","s"],0.7023633677991138
["c","e","n","s"],0.6157065484982767
["e","n","s","w"],0.7279665189561793
["e","n","o","s"],0.6809453471196455
["b","e","n","s"],0.7023633677991138
["n","o","s","w"],0.6573116691285081
["b","n","s","w"],0.6787296898079763
["b","n","o","s"],0.6317085179714427
["e","f","s","t"],0.6979320531757754
["f","s","t","w"],0.7333825701624815
["f","o","s","t"],0.6627277203348104
["b","f","s","t"],0.7018709995076317
["e","s","t","w"],0.6979320531757754
["e","o","s","t"],0.6272772033481043
["b","e","s","t"],0.6664204825209257
["o","s","t","w"],0.6627277203348104
["b","s","t","w"],0.7018709995076317
["b","o","s","t"],0.6312161496799606
["c","e","f","s"],0.6314623338257016
["c","f","s","w"],0.6432791728212703
["c","f","o","s"],0.6294928606597735
["b","c","f","s"],0.6176760216642049
["e","f","s","w"],0.7437223042836041
["e","f","o","s"],0.6967011324470704
["b","e","f","s"],0.7181191531265386
["f","o","s","w"],0.7085179714426391
["b","f","s","w"],0.7299359921221074
["b","f","o","s"],0.6829148202855736
["c","e","s","w"],0.6078286558345642
["c","o","s","w"],0.6058591826686361
["e","o","s","w"],0.6730674544559331
["b","e","s","w"],0.6944854751354013
["b","e","o","s"],0.6474643032988675
["b","o","s","w"],0.6592811422944362
["e","f","n","t"],0.7090103397341211
["f","n","t","w"],0.7090103397341211
["f","n","o","t"],0.6351550960118169
["b","f","n","t"],0.6774987690792713
["e","n","t","w"],0.7090103397341211
["e","n","o","t"],0.6351550960118169
["b","e","n","t"],0.6774987690792713
["n","o","t","w"],0.6351550960118169
["b","n","t","w"],0.6774987690792713
["b","n","o","t"],0.603643525356967
["c","e","f","n"],0.7331363860167405
["c","f","n","w"],0.7095027080256031
["c","f","n","o"],0.690300344657804
["b","c","f","n"],0.6802067946824224
["e","f","n","w"],0.8542589857213195
["e","f","n","o"],0.7996061053668144
["b","e","f","n"],0.8249630723781388
["f","n","o","w"],0.775972427375677
["b","f","n","w"],0.8013293943870015
["b","f","n","o"],0.7466765140324964
["c","e","n","w"],0.7095027080256031
["c","e","n","o"],0.690300344657804
["b","c","e","n"],0.6802067946824224
["c","n","o","w"],0.6666666666666666
["b","c","n","w"],0.656573116691285
["b","c","n","o"],0.6373707533234859
["e","n","o","w"],0.775972427375677
["b","e","n","w"],0.8013293943870015
["b","e","n","o"],0.7466765140324964
["b","n","o","w"],0.7230428360413589
["c","f","t","w"],0.6184145741014279
["e","f","t","w"],0.724766125061546
["e","f","o","t"],0.6509108813392418
["b","e","f","t"],0.6932545544066963
["f","o","t","w"],0.6863613983259478
["b","f","t","w"],0.7287050713934022
["b","f","o","t"],0.654849827671098
["e","o","t","w"],0.6509108813392418
["b","e","t","w"],0.6932545544066963
["b","e","o","t"],0.6193993106843919
["b","o","t","w"],0.654849827671098
["c","e","f","w"],0.7961595273264401
["c","e","f","o"],0.7769571639586411
["b","c","e","f"],0.7668636139832595
["c","f","o","w"],0.7887740029542097
["b","c","f","w"],0.7786804529788282
["b","c","f","o"],0.759478089611029
["e","f","k","w"],0.6410635155096012
["e","f","k","o"],0.604628261939931
["b","e","f","k"],0.6166912850812407
["b","f","k","w"],0.6107828655834564
["e","f","o","w"],0.8626292466765141
["b","e","f","w"],0.8879862136878385
["b","e","f","o"],0.8333333333333334
["b","f","o","w"],0.845150172328902
["c","e","o","w"],0.7533234859675036
["b","c","e","w"],0.7432299359921221
["b","c","e","o"],0.724027572624323
["b","c","o","w"],0.7358444116198917
["b","e","k","w"],0.6107828655834564
["b","e","o","w"],0.809699655342196
["f","n","p","s","t"],0.6821762678483506
["e","n","p","s","t"],0.6821762678483506
["n","p","s","t","w"],0.6821762678483506
["n","o","p","s","t"],0.6115214180206795
["b","n","p","s","t"],0.6506646971935007
["c","f","n","p","s"],0.6157065484982767
["e","f","n","p","s"],0.7516001969473166
["f","n","p","s","w"],0.7279665189561793
["f","n","o","p","s"],0.6809453471196455
["b","f","n","p","s"],0.7023633677991138
["c","e","n","p","s"],0.6157065484982767
["e","n","p","s","w"],0.7279665189561793
["e","n","o","p","s"],0.6809453471196455
["b","e","n","p","s"],0.7023633677991138
["n","o","p","s","w"],0.6573116691285081
["b","n","p","s","w"],0.6787296898079763
["b","n","o","p","s"],0.6317085179714427
["e","f","p","s","t"],0.6979320531757754
["f","p","s","t","w"],0.7333825701624815
["f","o","p","s","t"],0.6627277203348104
["b","f","p","s","t"],0.7018709995076317
["e","p","s","t","w"],0.6979320531757754
["e","o","p","s","t"],0.6272772033481043
["b","e","p","s","t"],0.6664204825209257
["o","p","s","t","w"],0.6627277203348104
["b","p","s","t","w"],0.7018709995076317
["b","o","p","s","t"],0.6312161496799606
["c","e","f","p","s"],0.6314623338257016
["c","f","p","s","w"],0.6432791728212703
["c","f","o","p","s"],0.6294928606597735
["b","c","f","p","s"],0.6176760216642049
["e","f","p","s","w"],0.7437223042836041
["e","f","o","p","s"],0.6967011324470704
["b","e","f","p","s"],0.7181191531265386
["f","o","p","s","w"],0.7085179714426391
["b","f","p","s","w"],0.7299359921221074
["b","f","o","p","s"],0.6829148202855736
["c","e","p","s","w"],0.6078286558345642
["c","o","p","s","w"],0.6058591826686361
["e","o","p","s","w"],0.6730674544559331
["b","e","p","s","w"],0.6944854751354013
["b","e","o","p","s"],0.6474643032988675
["b","o","p","s","w"],0.6592811422944362
["e","f","n","p","t"],0.7090103397341211
["f","n","p","t","w"],0.7090103397341211
["f","n","o","p","t"],0.6351550960118169
["b","f","n","p","t"],0.6774987690792713
["e","n","p","t","w"],0.7090103397341211
["e","n","o","p","t"],0.6351550960118169
["b","e","n","p","t"],0.6774987690792713
["n","o","p","t","w"],0.6351550960118169
["b","n","p","t","w"],0.6774987690792713
["b","n","o","p","t"],0.603643525356967
["c","e","f","n","p"],0.7331363860167405
["c","f","n","p","w"],0.7095027080256031
["c","f","n","o","p"],0.690300344657804
["b","c","f","n","p"],0.6802067946824224
["e","f","n","p","w"],0.8542589857213195
["e","f","n","o","p"],0.7996061053668144
["b","e","f","n","p"],0.8249630723781388
["f","n","o","p","w"],0.775972427375677
["b","f","n","p","w"],0.8013293943870015
["b","f","n","o","p"],0.7466765140324964
["c","e","n","p","w"],0.7095027080256031
["c","e","n","o","p"],0.690300344657804
["b","c","e","n","p"],0.6802067946824224
["c","n","o","p","w"],0.6666666666666666
["b","c","n","p","w"],0.656573116691285
["b","c","n","o","p"],0.6373707533234859
["e","n","o","p","w"],0.775972427375677
["b","e","n","p","w"],0.8013293943870015
["b","e","n","o","p"],0.7466765140324964
["b","n","o","p","w"],0.7230428360413589
["c","f","p","t","w"],0.6184145741014279
["e","f","p","t","w"],0.724766125061546
["e","f","o","p","t"],0.6509108813392418
["b","e","f","p","t"],0.6932545544066963
["f","o","p","t","w"],0.6863613983259478
["b","f","p","t","w"],0.7287050713934022
["b","f","o","p","t"],0.654849827671098
["e","o","p","t","w"],0.6509108813392418
["b","e","p","t","w"],0.6932545544066963
["b","e","o","p","t"],0.6193993106843919
["b","o","p","t","w"],0.654849827671098
["c","e","f","p","w"],0.7961595273264401
["c","e","f","o","p"],0.7769571639586411
["b","c","e","f","p"],0.7668636139832595
["c","f","o","p","w"],0.7887740029542097
["b","c","f","p","w"],0.7786804529788282
["b","c","f","o","p"],0.759478089611029
["e","f","k","p","w"],0.6410635155096012
["e","f","k","o","p"],0.604628261939931
["b","e","f","k","p"],0.6166912850812407
["b","f","k","p","w"],0.6107828655834564
["e","f","o","p","w"],0.8626292466765141
["b","e","f","p","w"],0.8879862136878385
["b","e","f","o","p"],0.8333333333333334
["b","f","o","p","w"],0.845150172328902
["c","e","o","p","w"],0.7533234859675036
["b","c","e","p","w"],0.7432299359921221
["b","c","e","o","p"],0.724027572624323
["b","c","o","p","w"],0.7358444116198917
["b","e","k","p","w"],0.6107828655834564
["b","e","o","p","w"],0.809699655342196
["e","f","n","s","t"],0.6821762678483506
["f","n","s","t","w"],0.6821762678483506
["f","n","o","s","t"],0.6115214180206795
["b","f","n","s","t"],0.6506646971935007
["e","n","s","t","w"],0.6821762678483506
["e","n","o","s","t"],0.6115214180206795
["b","e","n","s","t"],0.6506646971935007
["n","o","s","t","w"],0.6115214180206795
["b","n","s","t","w"],0.6506646971935007
["c","e","f","n","s"],0.6157065484982767
["e","f","n","s","w"],0.7279665189561793
["e","f","n","o","s"],0.6809453471196455
["b","e","f","n","s"],0.7023633677991138
["f","n","o","s","w"],0.6573116691285081
["b","f","n","s","w"],0.6787296898079763
["b","f","n","o","s"],0.6317085179714427
["e","n","o","s","w"],0.6573116691285081
["b","e","n","s","w"],0.6787296898079763
["b","e","n","o","s"],0.6317085179714427
["b","n","o","s","w"],0.6080748399803053
["e","f","s","t","w"],0.6979320531757754
["e","f","o","s","t"],0.6272772033481043
["b","e","f","s","t"],0.6664204825209257
["f","o","s","t","w"],0.6627277203348104
["b","f","s","t","w"],0.7018709995076317
["b","f","o","s","t"],0.6312161496799606
["e","o","s","t","w"],0.6272772033481043
["b","e","s","t","w"],0.6664204825209257
["b","o","s","t","w"],0.6312161496799606
["c","e","f","s","w"],0.6078286558345642
["c","f","o","s","w"],0.6058591826686361
["e","f","o","s","w"],0.6730674544559331
["b","e","f","s","w"],0.6944854751354013
["b","e","f","o","s"],0.6474643032988675
["b","f","o","s","w"],0.6592811422944362
["b","e","o","s","w"],0.6238306253077301
["e","f","n","t","w"],0.7090103397341211
["e","f","n","o","t"],0.6351550960118169
["b","e","f","n","t"],0.6774987690792713
["f","n","o","t","w"],0.6351550960118169
["b","f","n","t","w"],0.6774987690792713
["b","f","n","o","t"],0.603643525356967
["e","n","o","t","w"],0.6351550960118169
["b","e","n","t","w"],0.6774987690792713
["b","e","n","o","t"],0.603643525356967
["b","n","o","t","w"],0.603643525356967
["c","e","f","n","w"],0.7095027080256031
["c","e","f","n","o"],0.690300344657804
["b","c","e","f","n"],0.6802067946824224
["c","f","n","o","w"],0.6666666666666666
["b","c","f","n","w"],0.656573116691285
["b","c","f","n","o"],0.6373707533234859
["e","f","n","o","w"],0.775972427375677
["b","e","f","n","w"],0.8013293943870015
["b","e","f","n","o"],0.7466765140324964
["b","f","n","o","w"],0.7230428360413589
["c","e","n","o","w"],0.6666666666666666
["b","c","e","n","w"],0.656573116691285
["b","c","e","n","o"],0.6373707533234859
["b","c","n","o","w"],0.6137370753323486
["b","e","n","o","w"],0.7230428360413589
["e","f","o","t","w"],0.6509108813392418
["b","e","f","t","w"],0.6932545544066963
["b","e","f","o","t"],0.6193993106843919
["b","f","o","t","w"],0.654849827671098
["b","e","o","t","w"],0.6193993106843919
["c","e","f","o","w"],0.7533234859675036
["b","c","e","f","w"],0.7432299359921221
["b","c","e","f","o"],0.724027572624323
["b","c","f","o","w"],0.7358444116198917
["b","e","f","k","w"],0.6107828655834564
["b","e","f","o","w"],0.809699655342196
["b","c","e","o","w"],0.7003938946331856
["e","f","n","p","s","t"],0.6821762678483506
["f","n","p","s","t","w"],0.6821762678483506
["f","n","o","p","s","t"],0.6115214180206795
["b","f","n","p","s","t"],0.6506646971935007
["e","n","p","s","t","w"],0.6821762678483506
["e","n","o","p","s","t"],0.6115214180206795
["b","e","n","p","s","t"],0.6506646971935007
["n","o","p","s","t","w"],0.6115214180206795
["b","n","p","s","t","w"],0.6506646971935007
["c","e","f","n","p","s"],0.6157065484982767
["e","f","n","p","s","w"],0.7279665189561793
["e","f","n","o","p","s"],0.6809453471196455
["b","e","f","n","p","s"],0.7023633677991138
["f","n","o","p","s","w"],0.6573116691285081
["b","f","n","p","s","w"],0.6787296898079763
["b","f","n","o","p","s"],0.6317085179714427
["e","n","o","p","s","w"],0.6573116691285081
["b","e","n","p","s","w"],0.6787296898079763
["b","e","n","o","p","s"],0.6317085179714427
["b","n","o","p","s","w"],0.6080748399803053
["e","f","p","s","t","w"],0.6979320531757754
["e","f","o","p","s","t"],0.6272772033481043
["b","e","f","p","s","t"],0.6664204825209257
["f","o","p","s","t","w"],0.6627277203348104
["b","f","p","s","t","w"],0.7018709995076317
["b","f","o","p","s","t"],0.6312161496799606
["e","o","p","s","t","w"],0.6272772033481043
["b","e","p","s","t","w"],0.6664204825209257
["b","o","p","s","t","w"],0.6312161496799606
["c","e","f","p","s","w"],0.6078286558345642
["c","f","o","p","s","w"],0.6058591826686361
["e","f","o","p","s","w"],0.6730674544559331
["b","e","f","p","s","w"],0.6944854751354013
["b","e","f","o","p","s"],0.6474643032988675
["b","f","o","p","s","w"],0.6592811422944362
["b","e","o","p","s","w"],0.6238306253077301
["e","f","n","p","t","w"],0.7090103397341211
["e","f","n","o","p","t"],0.6351550960118169
["b","e","f","n","p","t"],0.6774987690792713
["f","n","o","p","t","w"],0.6351550960118169
["b","f","n","p","t","w"],0.6774987690792713
["b","f","n","o","p","t"],0.603643525356967
["e","n","o","p","t","w"],0.6351550960118169
["b","e","n","p","t","w"],0.6774987690792713
["b","e","n","o","p","t"],0.603643525356967
["b","n","o","p","t","w"],0.603643525356967
["c","e","f","n","p","w"],0.7095027080256031
["c","e","f","n","o","p"],0.690300344657804
["b","c","e","f","n","p"],0.6802067946824224
["c","f","n","o","p","w"],0.6666666666666666
["b","c","f","n","p","w"],0.656573116691285
["b","c","f","n","o","p"],0.6373707533234859
["e","f","n","o","p","w"],0.775972427375677
["b","e","f","n","p","w"],0.8013293943870015
["b","e","f","n","o","p"],0.7466765140324964
["b","f","n","o","p","w"],0.7230428360413589
["c","e","n","o","p","w"],0.6666666666666666
["b","c","e","n","p","w"],0.656573116691285
["b","c","e","n","o","p"],0.6373707533234859
["b","c","n","o","p","w"],0.6137370753323486
["b","e","n","o","p","w"],0.7230428360413589
["e","f","o","p","t","w"],0.6509108813392418
["b","e","f","p","t","w"],0.6932545544066963
["b","e","f","o","p","t"],0.6193993106843919
["b","f","o","p","t","w"],0.654849827671098
["b","e","o","p","t","w"],0.6193993106843919
["c","e","f","o","p","w"],0.7533234859675036
["b","c","e","f","p","w"],0.7432299359921221
["b","c","e","f","o","p"],0.724027572624323
["b","c","f","o","p","w"],0.7358444116198917
["b","e","f","k","p","w"],0.6107828655834564
["b","e","f","o","p","w"],0.809699655342196
["b","c","e","o","p","w"],0.7003938946331856
["e","f","n","s","t","w"],0.6821762678483506
["e","f","n","o","s","t"],0.6115214180206795
["b","e","f","n","s","t"],0.6506646971935007
["f","n","o","s","t","w"],0.6115214180206795
["b","f","n","s","t","w"],0.6506646971935007
["e","n","o","s","t","w"],0.6115214180206795
["b","e","n","s","t","w"],0.6506646971935007
["e","f","n","o","s","w"],0.6573116691285081
["b","e","f","n","s","w"],0.6787296898079763
["b","e","f","n","o","s"],0.6317085179714427
["b","f","n","o","s","w"],0.6080748399803053
["b","e","n","o","s","w"],0.6080748399803053
["e","f","o","s","t","w"],0.6272772033481043
["b","e","f","s","t","w"],0.6664204825209257
["b","f","o","s","t","w"],0.6312161496799606
["b","e","f","o","s","w"],0.6238306253077301
["e","f","n","o","t","w"],0.6351550960118169
["b","e","f","n","t","w"],0.6774987690792713
["b","e","f","n","o","t"],0.603643525356967
["b","f","n","o","t","w"],0.603643525356967
["b","e","n","o","t","w"],0.603643525356967
["c","e","f","n","o","w"],0.6666666666666666
["b","c","e","f","n","w"],0.656573116691285
["b","c","e","f","n","o"],0.6373707533234859
["b","c","f","n","o","w"],0.6137370753323486
["b","e","f","n","o","w"],0.7230428360413589
["b","c","e","n","o","w"],0.6137370753323486
["b","e","f","o","t","w"],0.6193993106843919
["b","c","e","f","o","w"],0.7003938946331856
["e","f","n","p","s","t","w"],0.6821762678483506
["e","f","n","o","p","s","t"],0.6115214180206795
["b","e","f","n","p","s","t"],0.6506646971935007
["f","n","o","p","s","t","w"],0.6115214180206795
["b","f","n","p","s","t","w"],0.6506646971935007
["e","n","o","p","s","t","w"],0.6115214180206795
["b","e","n","p","s","t","w"],0.6506646971935007
["e","f","n","o","p","s","w"],0.6573116691285081
["b","e","f","n","p","s","w"],0.6787296898079763
["b","e","f","n","o","p","s"],0.6317085179714427
["b","f","n","o","p","s","w"],0.6080748399803053
["b","e","n","o","p","s","w"],0.6080748399803053
["e","f","o","p","s","t","w"],0.6272772033481043
["b","e","f","p","s","t","w"],0.6664204825209257
["b","f","o","p","s","t","w"],0.6312161496799606
["b","e","f","o","p","s","w"],0.6238306253077301
