"itemSet","support"
662,19184
["j"],0.5232666666666667
["n"],0.5221333333333333
["f"],0.5196666666666667
["h"],0.5238666666666667
["g"],0.5158666666666667
["c"],0.5227333333333334
["b"],0.5190666666666667
["m"],0.5143333333333333
["l"],0.5258666666666667
["e"],0.5170666666666667
["i"],0.5239333333333334
["k"],0.5176666666666667
["d"],0.5216
["z"],0.5241333333333333
["t"],0.5195333333333333
["q"],0.5258666666666667
["o"],0.5246666666666666
["r"],0.5200666666666667
["s"],0.5198
["p"],0.5232666666666667
["u"],0.5212666666666667
["v"],0.5211333333333333
["w"],0.5250666666666667
["x"],0.5263333333333333
["y"],0.5212666666666667
["h","q"],0.33853333333333335
["h","o"],0.3376
["h","r"],0.335
["h","s"],0.3336
["h","p"],0.3343333333333333
["h","u"],0.3360666666666667
["h","v"],0.3348
["h","w"],0.33566666666666667
["h","x"],0.3358
["h","y"],0.3337333333333333
["g","j"],0.3326
["g","n"],0.33193333333333336
["g","h"],0.3304666666666667
["g","m"],0.3234666666666667
["g","l"],0.3343333333333333
["g","i"],0.33186666666666664
["g","k"],0.3280666666666667
["g","z"],0.3268
["g","t"],0.329
["g","q"],0.33153333333333335
["g","o"],0.3308
["g","r"],0.3294
["g","s"],0.3282
["g","p"],0.33286666666666664
["g","u"],0.3344
["g","v"],0.33326666666666666
["g","w"],0.3337333333333333
["g","x"],0.3308
["g","y"],0.3294666666666667
["c","j"],0.33386666666666664
["c","n"],0.33413333333333334
["c","f"],0.3324666666666667
["c","h"],0.33573333333333333
["c","g"],0.3306
["c","m"],0.32966666666666666
["c","l"],0.336
["c","e"],0.33
["c","i"],0.33166666666666667
["c","k"],0.329
["c","d"],0.33093333333333336
["c","z"],0.3369333333333333
["c","t"],0.32926666666666665
["c","q"],0.33526666666666666
["c","o"],0.336
["c","r"],0.3358
["c","s"],0.3323333333333333
["c","p"],0.331
["c","u"],0.334
["c","v"],0.334
["c","w"],0.33586666666666665
["c","x"],0.3314666666666667
["c","y"],0.3318
["b","j"],0.33193333333333336
["b","n"],0.33213333333333334
["b","f"],0.3316
["b","h"],0.3334666666666667
["b","g"],0.3293333333333333
["b","c"],0.33286666666666664
["b","m"],0.32653333333333334
["b","l"],0.3332
["b","e"],0.3292
["b","i"],0.3373333333333333
["b","k"],0.3308
["b","d"],0.33293333333333336
["b","z"],0.33486666666666665
["b","t"],0.3268666666666667
["b","q"],0.33526666666666666
["b","o"],0.3358
["b","r"],0.3316
["b","s"],0.3312
["b","p"],0.3322
["b","u"],0.3332
["b","v"],0.3316
["b","w"],0.33526666666666666
["b","x"],0.3304666666666667
["b","y"],0.3337333333333333
["m","n"],0.3274666666666667
["m","z"],0.32953333333333334
["m","t"],0.3297333333333333
["m","q"],0.33186666666666664
["m","o"],0.3308
["m","r"],0.3284666666666667
["m","s"],0.3268666666666667
["m","p"],0.3280666666666667
["m","u"],0.3307333333333333
["m","v"],0.3284
["m","w"],0.3303333333333333
["m","x"],0.32793333333333335
["m","y"],0.3296
["l","n"],0.3350666666666667
["l","m"],0.33126666666666665
["l","z"],0.3406666666666667
["l","t"],0.33393333333333336
["l","q"],0.34086666666666665
["l","o"],0.3378
["l","r"],0.3359333333333333
["l","s"],0.3352
["l","p"],0.33566666666666667
["l","u"],0.3356
["l","v"],0.3344666666666667
["l","w"],0.3379333333333333
["l","x"],0.33566666666666667
["l","y"],0.3344666666666667
["e","j"],0.3324666666666667
["e","n"],0.3300666666666667
["e","f"],0.3297333333333333
["e","h"],0.33253333333333335
["e","g"],0.32826666666666665
["e","m"],0.3238666666666667
["e","l"],0.33153333333333335
["e","i"],0.3317333333333333
["e","k"],0.3287333333333333
["e","z"],0.32913333333333333
["e","t"],0.32793333333333335
["e","q"],0.33613333333333334
["e","o"],0.3340666666666667
["e","r"],0.33093333333333336
["e","s"],0.3287333333333333
["e","p"],0.33093333333333336
["e","u"],0.33026666666666665
["e","v"],0.3302
["e","w"],0.3324
["e","x"],0.33113333333333334
["e","y"],0.3314
["i","j"],0.3363333333333333
["i","n"],0.3334
["i","m"],0.3294666666666667
["i","l"],0.3368
["i","k"],0.3324
["i","z"],0.337
["i","t"],0.3334666666666667
["i","q"],0.338
["i","o"],0.3369333333333333
["i","r"],0.3328
["i","s"],0.3318
["i","p"],0.3350666666666667
["i","u"],0.33486666666666665
["i","v"],0.33513333333333334
["i","w"],0.3374666666666667
["i","x"],0.3343333333333333
["i","y"],0.336
["k","n"],0.32913333333333333
["k","m"],0.3280666666666667
["k","l"],0.33466666666666667
["k","z"],0.332
["k","t"],0.33386666666666664
["k","q"],0.33293333333333336
["k","o"],0.3344
["k","r"],0.33186666666666664
["k","s"],0.3324
["k","p"],0.33393333333333336
["k","u"],0.3346
["k","v"],0.33026666666666665
["k","w"],0.33113333333333334
["k","x"],0.3326
["k","y"],0.3322
["d","j"],0.3364666666666667
["d","n"],0.33326666666666666
["d","f"],0.32986666666666664
["d","h"],0.33226666666666665
["d","g"],0.3278
["d","m"],0.3280666666666667
["d","l"],0.33513333333333334
["d","e"],0.32986666666666664
["d","i"],0.3333333333333333
["d","k"],0.33126666666666665
["d","z"],0.33653333333333335
["d","t"],0.33326666666666666
["d","q"],0.33673333333333333
["d","o"],0.33453333333333335
["d","r"],0.32893333333333336
["d","s"],0.3352
["d","p"],0.33366666666666667
["d","u"],0.3338
["d","v"],0.3304
["d","w"],0.33386666666666664
["d","x"],0.3344666666666667
["d","y"],0.3324666666666667
["t","z"],0.33666666666666667
["t","u"],0.3306
["t","v"],0.332
["t","w"],0.33313333333333334
["t","x"],0.33213333333333334
["t","y"],0.33466666666666667
["q","z"],0.3416
["q","t"],0.3356
["q","r"],0.3366
["q","s"],0.3344
["q","u"],0.3370666666666667
["q","v"],0.3344666666666667
["q","w"],0.3392
["q","x"],0.3383333333333333
["q","y"],0.3374666666666667
["o","z"],0.3372
["o","t"],0.3344
["o","q"],0.3382
["o","r"],0.33453333333333335
["o","s"],0.3344
["o","p"],0.3346
["o","u"],0.3332
["o","v"],0.33253333333333335
["o","w"],0.33973333333333333
["o","x"],0.33553333333333335
["o","y"],0.3330666666666667
["r","z"],0.33466666666666667
["r","t"],0.3324666666666667
["r","s"],0.3293333333333333
["r","u"],0.33293333333333336
["r","v"],0.32986666666666664
["r","w"],0.3340666666666667
["r","x"],0.3360666666666667
["r","y"],0.3346
["s","z"],0.33293333333333336
["s","t"],0.33226666666666665
["s","u"],0.3333333333333333
["s","v"],0.3333333333333333
["s","w"],0.3348
["s","x"],0.3344666666666667
["s","y"],0.3337333333333333
["p","z"],0.33286666666666664
["p","t"],0.33093333333333336
["p","q"],0.3373333333333333
["p","r"],0.3344666666666667
["p","s"],0.3317333333333333
["p","u"],0.3364666666666667
["p","v"],0.3344
["p","w"],0.3338
["p","x"],0.333
["p","y"],0.33466666666666667
["u","z"],0.3354
["u","v"],0.33326666666666666
["u","w"],0.3348
["u","x"],0.3366
["u","y"],0.3320666666666667
["v","z"],0.33513333333333334
["v","w"],0.33673333333333333
["v","x"],0.33566666666666667
["v","y"],0.33453333333333335
["w","z"],0.33766666666666667
["w","x"],0.33453333333333335
["w","y"],0.3353333333333333
["x","z"],0.3382
["x","y"],0.3347333333333333
["y","z"],0.334
