"itemSet","support"
280,25342
["e"],0.53
["u"],0.5256
["r"],0.5268
["o"],0.5162
["z"],0.5294
["w"],0.53
["i"],0.5262
["l"],0.5246
["g"],0.5332
["p"],0.5282
["n"],0.5276
["x"],0.526
["d"],0.5256
["t"],0.5126
["j"],0.5214
["s"],0.525
["v"],0.5268
["y"],0.521
["c"],0.5256
["k"],0.5078
["q"],0.5304
["f"],0.5392
["b"],0.5188
["h"],0.5328
["m"],0.53
["n","y"],0.3328
["c","n"],0.338
["k","n"],0.328
["n","q"],0.3432
["f","n"],0.3464
["b","n"],0.3382
["h","n"],0.3414
["m","n"],0.3438
["d","x"],0.3358
["t","x"],0.3346
["j","x"],0.339
["s","x"],0.3414
["v","x"],0.3378
["x","y"],0.3382
["c","x"],0.3374
["k","x"],0.3286
["q","x"],0.3428
["f","x"],0.3524
["b","x"],0.3346
["h","x"],0.3404
["m","x"],0.3478
["d","t"],0.3304
["d","j"],0.3336
["d","s"],0.3372
["d","v"],0.3434
["d","y"],0.3334
["c","d"],0.3332
["d","k"],0.3242
["d","q"],0.341
["d","f"],0.3404
["b","d"],0.337
["d","h"],0.3378
["d","m"],0.333
["j","t"],0.3288
["s","t"],0.3342
["t","v"],0.3342
["t","y"],0.329
["c","t"],0.3336
["k","t"],0.3286
["q","t"],0.3346
["f","t"],0.3386
["b","t"],0.3282
["h","t"],0.3362
["m","t"],0.3362
["j","s"],0.3386
["j","v"],0.3358
["j","y"],0.3352
["c","j"],0.3386
["j","k"],0.331
["j","q"],0.3434
["f","j"],0.3472
["b","j"],0.3342
["h","j"],0.3408
["j","m"],0.3438
["s","v"],0.3404
["s","y"],0.3414
["c","s"],0.3406
["k","s"],0.3286
["q","s"],0.34
["f","s"],0.3482
["b","s"],0.3344
["h","s"],0.343
["m","s"],0.3406
["v","y"],0.3438
["c","v"],0.3384
["k","v"],0.3286
["q","v"],0.3384
["f","v"],0.3434
["b","v"],0.3346
["h","v"],0.3404
["m","v"],0.3386
["c","y"],0.3398
["k","y"],0.3256
["q","y"],0.3444
["f","y"],0.343
["b","y"],0.3352
["h","y"],0.3394
["m","y"],0.3416
["c","k"],0.3338
["c","q"],0.344
["c","f"],0.3452
["b","c"],0.3366
["c","h"],0.3428
["c","m"],0.34
["k","q"],0.3282
["f","k"],0.341
["b","k"],0.3244
["h","k"],0.3324
["k","m"],0.333
["f","q"],0.3502
["b","q"],0.3394
["h","q"],0.346
["m","q"],0.348
["b","f"],0.3484
["f","h"],0.3486
["f","m"],0.3516
["b","h"],0.3398
["b","m"],0.3348
["h","m"],0.3384
