"itemSet","support"
703,29403
["p"],1
["s"],0.8028064992614475
["n"],0.8778926637124569
["t"],0.7602166420482521
["f"],1
["c"],0.8552437223042836
["e"],0.9645494830132939
["w"],0.9763663220088626
["o"],0.9217134416543574
["b"],0.9470704086656819
["p","s"],0.8028064992614475
["n","p"],0.8778926637124569
["p","t"],0.7602166420482521
["f","p"],1
["c","p"],0.8552437223042836
["e","p"],0.9645494830132939
["p","w"],0.9763663220088626
["o","p"],0.9217134416543574
["b","p"],0.9470704086656819
["n","s"],0.7516001969473166
["s","t"],0.7333825701624815
["f","s"],0.8028064992614475
["e","s"],0.7673559822747416
["s","w"],0.7791728212703102
["o","s"],0.7321516494337764
["b","s"],0.7535696701132447
["n","t"],0.7090103397341211
["f","n"],0.8778926637124569
["c","n"],0.7331363860167405
["e","n"],0.8778926637124569
["n","w"],0.8542589857213195
["n","o"],0.7996061053668144
["b","n"],0.8249630723781388
["f","t"],0.7602166420482521
["e","t"],0.724766125061546
["t","w"],0.7602166420482521
["b","t"],0.7287050713934022
["c","f"],0.8552437223042836
["e","f"],0.9645494830132939
["f","w"],0.9763663220088626
["f","o"],0.9217134416543574
["b","f"],0.9470704086656819
["c","e"],0.8197932053175776
["c","w"],0.8316100443131462
["c","o"],0.8124076809453471
["b","c"],0.8023141309699655
["e","w"],0.9409158050221565
["e","o"],0.8862629246676514
["b","e"],0.9116198916789758
["o","w"],0.8980797636632201
["b","w"],0.9234367306745446
["b","o"],0.8687838503200394
["b","p","t","w"],0.7287050713934022
["c","e","f","p"],0.8197932053175776
["c","f","p","w"],0.8316100443131462
["c","f","o","p"],0.8124076809453471
["b","c","f","p"],0.8023141309699655
["e","f","p","w"],0.9409158050221565
["e","f","o","p"],0.8862629246676514
["b","e","f","p"],0.9116198916789758
["f","o","p","w"],0.8980797636632201
["b","f","p","w"],0.9234367306745446
["b","f","o","p"],0.8687838503200394
["c","e","p","w"],0.7961595273264401
["c","e","o","p"],0.7769571639586411
["b","c","e","p"],0.7668636139832595
["c","o","p","w"],0.7887740029542097
["b","c","p","w"],0.7786804529788282
["b","c","o","p"],0.759478089611029
["e","o","p","w"],0.8626292466765141
["b","e","p","w"],0.8879862136878385
["b","e","o","p"],0.8333333333333334
["b","o","p","w"],0.845150172328902
["e","f","n","s"],0.7516001969473166
["f","n","s","w"],0.7279665189561793
["b","f","n","s"],0.7023633677991138
["e","n","s","w"],0.7279665189561793
["b","e","n","s"],0.7023633677991138
["f","s","t","w"],0.7333825701624815
["b","f","s","t"],0.7018709995076317
["b","s","t","w"],0.7018709995076317
["e","f","s","w"],0.7437223042836041
["b","e","f","s"],0.7181191531265386
["f","o","s","w"],0.7085179714426391
["b","f","s","w"],0.7299359921221074
["e","f","n","t"],0.7090103397341211
["f","n","t","w"],0.7090103397341211
["e","n","t","w"],0.7090103397341211
["c","e","f","n"],0.7331363860167405
["c","f","n","w"],0.7095027080256031
["e","f","n","w"],0.8542589857213195
["e","f","n","o"],0.7996061053668144
["b","e","f","n"],0.8249630723781388
["f","n","o","w"],0.775972427375677
["b","f","n","w"],0.8013293943870015
["b","f","n","o"],0.7466765140324964
["c","e","n","w"],0.7095027080256031
["e","n","o","w"],0.775972427375677
["b","e","n","w"],0.8013293943870015
["b","e","n","o"],0.7466765140324964
["b","n","o","w"],0.7230428360413589
["e","f","t","w"],0.724766125061546
["b","f","t","w"],0.7287050713934022
["c","e","f","w"],0.7961595273264401
["c","e","f","o"],0.7769571639586411
["b","c","e","f"],0.7668636139832595
["c","f","o","w"],0.7887740029542097
["b","c","f","w"],0.7786804529788282
["b","c","f","o"],0.759478089611029
["e","f","o","w"],0.8626292466765141
["b","e","f","w"],0.8879862136878385
["b","e","f","o"],0.8333333333333334
["b","f","o","w"],0.845150172328902
["c","e","o","w"],0.7533234859675036
["b","c","e","w"],0.7432299359921221
["b","c","e","o"],0.724027572624323
["b","c","o","w"],0.7358444116198917
["b","e","o","w"],0.809699655342196
["e","f","n","p","s"],0.7516001969473166
["f","n","p","s","w"],0.7279665189561793
["b","f","n","p","s"],0.7023633677991138
["e","n","p","s","w"],0.7279665189561793
["b","e","n","p","s"],0.7023633677991138
["f","p","s","t","w"],0.7333825701624815
["b","f","p","s","t"],0.7018709995076317
["b","p","s","t","w"],0.7018709995076317
["e","f","p","s","w"],0.7437223042836041
["b","e","f","p","s"],0.7181191531265386
["f","o","p","s","w"],0.7085179714426391
["b","f","p","s","w"],0.7299359921221074
["e","f","n","p","t"],0.7090103397341211
["f","n","p","t","w"],0.7090103397341211
["e","n","p","t","w"],0.7090103397341211
["c","e","f","n","p"],0.7331363860167405
["c","f","n","p","w"],0.7095027080256031
["e","f","n","p","w"],0.8542589857213195
["e","f","n","o","p"],0.7996061053668144
["b","e","f","n","p"],0.8249630723781388
["f","n","o","p","w"],0.775972427375677
["b","f","n","p","w"],0.8013293943870015
["b","f","n","o","p"],0.7466765140324964
["c","e","n","p","w"],0.7095027080256031
["e","n","o","p","w"],0.775972427375677
["b","e","n","p","w"],0.8013293943870015
["b","e","n","o","p"],0.7466765140324964
["b","n","o","p","w"],0.7230428360413589
["e","f","p","t","w"],0.724766125061546
["b","f","p","t","w"],0.7287050713934022
["c","e","f","p","w"],0.7961595273264401
["c","e","f","o","p"],0.7769571639586411
["b","c","e","f","p"],0.7668636139832595
["c","f","o","p","w"],0.7887740029542097
["b","c","f","p","w"],0.7786804529788282
["b","c","f","o","p"],0.759478089611029
["e","f","o","p","w"],0.8626292466765141
["b","e","f","p","w"],0.8879862136878385
["b","e","f","o","p"],0.8333333333333334
["b","f","o","p","w"],0.845150172328902
["c","e","o","p","w"],0.7533234859675036
["b","c","e","p","w"],0.7432299359921221
["b","c","e","o","p"],0.724027572624323
["b","c","o","p","w"],0.7358444116198917
["b","e","o","p","w"],0.809699655342196
["e","f","n","s","w"],0.7279665189561793
["b","e","f","n","s"],0.7023633677991138
["b","f","s","t","w"],0.7018709995076317
["e","f","n","t","w"],0.7090103397341211
["c","e","f","n","w"],0.7095027080256031
["e","f","n","o","w"],0.775972427375677
["b","e","f","n","w"],0.8013293943870015
["b","e","f","n","o"],0.7466765140324964
["b","f","n","o","w"],0.7230428360413589
["b","e","n","o","w"],0.7230428360413589
["c","e","f","o","w"],0.7533234859675036
["b","c","e","f","w"],0.7432299359921221
["b","c","e","f","o"],0.724027572624323
["b","c","f","o","w"],0.7358444116198917
["b","e","f","o","w"],0.809699655342196
["b","c","e","o","w"],0.7003938946331856
["e","f","n","p","s","w"],0.7279665189561793
["b","e","f","n","p","s"],0.7023633677991138
["b","f","p","s","t","w"],0.7018709995076317
["e","f","n","p","t","w"],0.7090103397341211
["c","e","f","n","p","w"],0.7095027080256031
["e","f","n","o","p","w"],0.775972427375677
["b","e","f","n","p","w"],0.8013293943870015
["b","e","f","n","o","p"],0.7466765140324964
["b","f","n","o","p","w"],0.7230428360413589
["b","e","n","o","p","w"],0.7230428360413589
["c","e","f","o","p","w"],0.7533234859675036
["b","c","e","f","p","w"],0.7432299359921221
["b","c","e","f","o","p"],0.724027572624323
["b","c","f","o","p","w"],0.7358444116198917
["b","e","f","o","p","w"],0.809699655342196
["b","c","e","o","p","w"],0.7003938946331856
["b","e","f","n","o","w"],0.7230428360413589
["b","c","e","f","o","w"],0.7003938946331856
["b","e","f","n","o","p","w"],0.7230428360413589
["b","c","e","f","o","p","w"],0.7003938946331856
