"itemSet","support"
699,516728
["p"],1
["x"],0.4500246184145741
["s"],0.8028064992614475
["n"],0.8778926637124569
["t"],0.7602166420482521
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["w"],0.9763663220088626
["o"],0.9217134416543574
["y"],0.5910881339241753
["b"],0.9470704086656819
["g"],0.5209256523879862
["l"],0.31117676021664203
["v"],0.49729197439684886
["d"],0.38749384539635645
["?"],0.3052683407188577
["o","p","y"],0.5654849827671098
["b","o","p"],0.8687838503200394
["g","o","p"],0.47858197932053176
["l","o","p"],0.31117676021664203
["o","p","v"],0.48645987198424423
["d","o","p"],0.38207779419005417
["b","p","y"],0.5598227474150664
["b","g","p"],0.4977843426883309
["b","l","p"],0.310438207779419
["b","p","v"],0.46971935007385524
["b","d","p"],0.37863121614968
["n","s","x"],0.33185622845888724
["s","t","x"],0.31954702117183653
["f","s","x"],0.35745937961595275
["e","s","x"],0.3397341211225997
["s","w","x"],0.3515509601181684
["o","s","x"],0.3362875430822255
["b","s","x"],0.3348104382077794
["n","t","x"],0.30379123584441164
["f","n","x"],0.3889709502708026
["c","n","x"],0.3229935992122107
["e","n","x"],0.3889709502708026
["n","w","x"],0.3830625307730182
["n","o","x"],0.36533727227966517
["b","n","x"],0.36533727227966517
["f","t","x"],0.3293943870014771
["e","t","x"],0.31166912850812406
["t","w","x"],0.3293943870014771
["o","t","x"],0.3072378138847858
["b","t","x"],0.31363860167405216
["c","f","x"],0.38404726735598227
["e","f","x"],0.4322993599212211
["f","w","x"],0.4441161989167898
["f","o","x"],0.4263909404234367
["b","f","x"],0.4263909404234367
["c","e","x"],0.3663220088626292
["c","w","x"],0.37813884785819796
["c","o","x"],0.3722304283604136
["b","c","x"],0.3604135893648449
["e","w","x"],0.4263909404234367
["e","o","x"],0.4086656819300837
["b","e","x"],0.4086656819300837
["o","w","x"],0.4204825209256524
["b","w","x"],0.4204825209256524
["b","o","x"],0.40275726243229937
["n","s","t"],0.6821762678483506
["f","n","s"],0.7516001969473166
["c","n","s"],0.6157065484982767
["k","n","s"],0.43870014771048743
["e","n","s"],0.7516001969473166
["n","s","w"],0.7279665189561793
["n","o","s"],0.6809453471196455
["n","s","y"],0.4098966026587888
["b","n","s"],0.7023633677991138
["g","n","s"],0.3552437223042836
["n","s","v"],0.3766617429837518
["d","n","s"],0.31954702117183653
["f","s","t"],0.7333825701624815
["c","s","t"],0.5997045790251108
["k","s","t"],0.4278680452978828
["e","s","t"],0.6979320531757754
["s","t","w"],0.7333825701624815
["o","s","t"],0.6627277203348104
["s","t","y"],0.396848842934515
["b","s","t"],0.7018709995076317
["g","s","t"],0.36952240275726245
["s","t","v"],0.35745937961595275
["c","f","s"],0.6669128508124077
["f","k","s"],0.4544559330379124
["e","f","s"],0.7673559822747416
["f","s","w"],0.7791728212703102
["f","o","s"],0.7321516494337764
["f","s","y"],0.42269817823732153
["b","f","s"],0.7535696701132447
["f","g","s"],0.38872476612506157
["f","s","v"],0.39438700147710487
["d","f","s"],0.31954702117183653
["c","k","s"],0.3709995076317085
["c","e","s"],0.6314623338257016
["c","s","w"],0.6432791728212703
["c","o","s"],0.6294928606597735
["c","s","y"],0.41568193008370263
["b","c","s"],0.6176760216642049
["c","s","v"],0.3803545051698671
["c","d","s"],0.30773018217626785
["e","k","s"],0.4544559330379124
["k","s","w"],0.448547513540128
["k","o","s"],0.4190054160512063
["b","k","s"],0.4273756770064008
["e","s","w"],0.7437223042836041
["e","o","s"],0.6967011324470704
["e","s","y"],0.42269817823732153
["b","e","s"],0.7181191531265386
["e","g","s"],0.36509108813392416
["e","s","v"],0.3766617429837518
["d","e","s"],0.31954702117183653
["o","s","w"],0.7085179714426391
["s","w","y"],0.41088133924175285
["b","s","w"],0.7299359921221074
["g","s","w"],0.38872476612506157
["s","v","w"],0.3825701624815362
["d","s","w"],0.31954702117183653
["o","s","y"],0.40251107828655835
["b","o","s"],0.6829148202855736
["g","o","s"],0.34859675036927623
["o","s","v"],0.38355489906450024
["d","o","s"],0.3190546528803545
["b","s","y"],0.3951255539143279
["b","g","s"],0.3655834564254062
["b","s","v"],0.36976858690300346
["b","d","s"],0.31363860167405216
["f","n","t"],0.7090103397341211
["c","n","t"],0.5672082717872969
["k","n","t"],0.4359921221073363
["e","n","t"],0.7090103397341211
["n","t","w"],0.7090103397341211
["n","o","t"],0.6351550960118169
["n","t","y"],0.40275726243229937
["b","n","t"],0.6774987690792713
["g","n","t"],0.34416543574593794
["n","t","v"],0.35745937961595275
["c","f","n"],0.7331363860167405
["f","k","n"],0.5603151157065485
["e","f","n"],0.8778926637124569
["f","n","w"],0.8542589857213195
["f","n","o"],0.7996061053668144
["f","n","y"],0.516248153618907
["b","f","n"],0.8249630723781388
["f","g","n"],0.4322993599212211
["f","n","v"],0.4441161989167898
["d","f","n"],0.3638601674052191
["?","f","n"],0.3052683407188577
["c","k","n"],0.4707040866568193
["c","e","n"],0.7331363860167405
["c","n","w"],0.7095027080256031
["c","n","o"],0.690300344657804
["c","n","y"],0.5088626292466765
["b","c","n"],0.6802067946824224
["c","g","n"],0.3023141309699655
["c","n","v"],0.4293451501723289
["c","d","n"],0.3520433284096504
["e","k","n"],0.5603151157065485
["k","n","w"],0.5544066962087641
["k","n","o"],0.517971442639094
["k","n","y"],0.3346873461349089
["b","k","n"],0.5300344657804037
["k","n","v"],0.30305268340718855
["e","n","w"],0.8542589857213195
["e","n","o"],0.7996061053668144
["e","n","y"],0.516248153618907
["b","e","n"],0.8249630723781388
["e","g","n"],0.4322993599212211
["e","n","v"],0.4441161989167898
["d","e","n"],0.3638601674052191
["?","e","n"],0.3052683407188577
["n","o","w"],0.775972427375677
["n","w","y"],0.5044313146233382
["b","n","w"],0.8013293943870015
["g","n","w"],0.4322993599212211
["n","v","w"],0.4322993599212211
["d","n","w"],0.3638601674052191
["n","o","y"],0.49064500246184145
["b","n","o"],0.7466765140324964
["g","n","o"],0.38995568685376664
["n","o","v"],0.43328409650418515
["d","n","o"],0.3584441161989168
["b","n","y"],0.48498276710979815
["b","g","n"],0.4091580502215657
["b","n","v"],0.41654357459379615
["b","d","n"],0.35499753815854257
["c","f","t"],0.6184145741014279
["f","k","t"],0.4517479074347612
["e","f","t"],0.724766125061546
["f","t","w"],0.7602166420482521
["f","o","t"],0.6863613983259478
["f","t","y"],0.4155588380108321
["b","f","t"],0.7287050713934022
["f","g","t"],0.3776464795667159
["f","t","v"],0.37518463810930575
["c","k","t"],0.36312161496799605
["c","e","t"],0.5829640571147218
["c","t","w"],0.6184145741014279
["c","o","t"],0.5800098473658296
["c","t","y"],0.4096504185130478
["b","c","t"],0.5869030034465781
["c","t","v"],0.36336779911373707
["e","k","t"],0.4517479074347612
["k","t","w"],0.4517479074347612
["k","o","t"],0.413835548990645
["b","k","t"],0.4320531757754801
["e","t","w"],0.724766125061546
["e","o","t"],0.6509108813392418
["e","t","y"],0.4155588380108321
["b","e","t"],0.6932545544066963
["e","g","t"],0.3540128015755785
["e","t","v"],0.35745937961595275
["o","t","w"],0.6863613983259478
["t","w","y"],0.4155588380108321
["b","t","w"],0.7287050713934022
["g","t","w"],0.3776464795667159
["t","v","w"],0.37518463810930575
["o","t","y"],0.39438700147710487
["b","o","t"],0.654849827671098
["g","o","t"],0.3353028064992615
["o","t","v"],0.3643525356967011
["b","t","y"],0.3998030526834072
["b","g","t"],0.361890694239291
["b","t","v"],0.35942885278188086
["c","f","k"],0.5573609059576563
["c","e","f"],0.8197932053175776
["c","f","w"],0.8316100443131462
["c","f","o"],0.8124076809453471
["c","f","y"],0.5837026095519449
["b","c","f"],0.8023141309699655
["c","f","g"],0.3909404234367307
["c","f","l"],0.3023141309699655
["c","f","v"],0.48252092565238797
["c","d","f"],0.37567700640078777
["e","f","k"],0.6469719350073855
["f","k","w"],0.6410635155096012
["f","k","o"],0.604628261939931
["f","k","y"],0.40952732644017725
["b","f","k"],0.6166912850812407
["f","g","k"],0.33739537173806006
["f","k","v"],0.33850320039389464
["e","f","w"],0.9409158050221565
["e","f","o"],0.8862629246676514
["e","f","y"],0.5910881339241753
["b","e","f"],0.9116198916789758
["e","f","g"],0.49729197439684886
["e","f","l"],0.31117676021664203
["e","f","v"],0.4795667159034958
["d","e","f"],0.38749384539635645
["?","e","f"],0.3052683407188577
["f","o","w"],0.8980797636632201
["f","w","y"],0.5792712949286066
["b","f","w"],0.9234367306745446
["f","g","w"],0.5209256523879862
["f","v","w"],0.4854751354012802
["d","f","w"],0.38749384539635645
["f","o","y"],0.5654849827671098
["b","f","o"],0.8687838503200394
["f","g","o"],0.47858197932053176
["f","l","o"],0.31117676021664203
["f","o","v"],0.48645987198424423
["d","f","o"],0.38207779419005417
["b","f","y"],0.5598227474150664
["b","f","g"],0.4977843426883309
["b","f","l"],0.310438207779419
["b","f","v"],0.46971935007385524
["b","d","f"],0.37863121614968
["c","e","k"],0.5573609059576563
["c","k","w"],0.551452486459872
["c","k","o"],0.5445593303791236
["c","k","y"],0.4090349581486952
["b","c","k"],0.5270802560315115
["c","k","v"],0.3375184638109306
["c","e","w"],0.7961595273264401
["c","e","o"],0.7769571639586411
["c","e","y"],0.5837026095519449
["b","c","e"],0.7668636139832595
["c","e","g"],0.36730674544559333
["c","e","l"],0.3023141309699655
["c","e","v"],0.464795667159035
["c","d","e"],0.37567700640078777
["c","o","w"],0.7887740029542097
["c","w","y"],0.5718857705563761
["b","c","w"],0.7786804529788282
["c","g","w"],0.3909404234367307
["c","v","w"],0.4707040866568193
["c","d","w"],0.37567700640078777
["c","o","y"],0.5580994583948794
["b","c","o"],0.759478089611029
["c","g","o"],0.38404726735598227
["c","l","o"],0.3023141309699655
["c","o","v"],0.47168882323978334
["c","d","o"],0.3702609551944855
["b","c","y"],0.552437223042836
["b","c","g"],0.36779911373707536
["b","c","l"],0.30157557853274247
["b","c","v"],0.4549483013293944
["b","c","d"],0.36681437715411125
["e","k","w"],0.6410635155096012
["e","k","o"],0.604628261939931
["e","k","y"],0.40952732644017725
["b","e","k"],0.6166912850812407
["e","g","k"],0.33739537173806006
["e","k","v"],0.33850320039389464
["k","o","w"],0.5987198424421467
["k","w","y"],0.4065731166912851
["b","k","w"],0.6107828655834564
["g","k","w"],0.33739537173806006
["k","v","w"],0.3355489906450025
["k","o","y"],0.40066469719350073
["b","k","o"],0.5743476120137863
["g","k","o"],0.30785327424913833
["k","o","v"],0.33850320039389464
["b","k","y"],0.39278680452978826
["b","g","k"],0.32311669128508125
["b","k","v"],0.32200886262924666
["e","o","w"],0.8626292466765141
["e","w","y"],0.5792712949286066
["b","e","w"],0.8879862136878385
["e","g","w"],0.49729197439684886
["e","v","w"],0.46774987690792713
["d","e","w"],0.38749384539635645
["e","o","y"],0.5654849827671098
["b","e","o"],0.8333333333333334
["e","g","o"],0.4549483013293944
["e","l","o"],0.31117676021664203
["e","o","v"],0.4687346134908912
["d","e","o"],0.38207779419005417
["b","e","y"],0.5598227474150664
["b","e","g"],0.4741506646971935
["b","e","l"],0.310438207779419
["b","e","v"],0.4519940915805022
["b","d","e"],0.37863121614968
["o","w","y"],0.5536681437715412
["b","o","w"],0.845150172328902
["g","o","w"],0.47858197932053176
["o","v","w"],0.47464303298867555
["d","o","w"],0.38207779419005417
["b","w","y"],0.5480059084194978
["b","g","w"],0.4977843426883309
["b","v","w"],0.45790251107828656
["b","d","w"],0.37863121614968
["b","o","y"],0.534219596258001
["b","g","o"],0.4554406696208764
["b","l","o"],0.310438207779419
["b","o","v"],0.4588872476612506
["b","d","o"],0.37321516494337764
["n","p","s","x"],0.33185622845888724
["p","s","t","x"],0.31954702117183653
["f","p","s","x"],0.35745937961595275
["e","p","s","x"],0.3397341211225997
["p","s","w","x"],0.3515509601181684
["o","p","s","x"],0.3362875430822255
["b","p","s","x"],0.3348104382077794
["n","p","t","x"],0.30379123584441164
["f","n","p","x"],0.3889709502708026
["c","n","p","x"],0.3229935992122107
["e","n","p","x"],0.3889709502708026
["n","p","w","x"],0.3830625307730182
["n","o","p","x"],0.36533727227966517
["b","n","p","x"],0.36533727227966517
["f","p","t","x"],0.3293943870014771
["e","p","t","x"],0.31166912850812406
["p","t","w","x"],0.3293943870014771
["o","p","t","x"],0.3072378138847858
["b","p","t","x"],0.31363860167405216
["c","f","p","x"],0.38404726735598227
["e","f","p","x"],0.4322993599212211
["f","p","w","x"],0.4441161989167898
["f","o","p","x"],0.4263909404234367
["b","f","p","x"],0.4263909404234367
["c","e","p","x"],0.3663220088626292
["c","p","w","x"],0.37813884785819796
["c","o","p","x"],0.3722304283604136
["b","c","p","x"],0.3604135893648449
["e","p","w","x"],0.4263909404234367
["e","o","p","x"],0.4086656819300837
["b","e","p","x"],0.4086656819300837
["o","p","w","x"],0.4204825209256524
["b","p","w","x"],0.4204825209256524
["b","o","p","x"],0.40275726243229937
["n","p","s","t"],0.6821762678483506
["f","n","p","s"],0.7516001969473166
["c","n","p","s"],0.6157065484982767
["k","n","p","s"],0.43870014771048743
["e","n","p","s"],0.7516001969473166
["n","p","s","w"],0.7279665189561793
["n","o","p","s"],0.6809453471196455
["n","p","s","y"],0.4098966026587888
["b","n","p","s"],0.7023633677991138
["g","n","p","s"],0.3552437223042836
["n","p","s","v"],0.3766617429837518
["d","n","p","s"],0.31954702117183653
["f","p","s","t"],0.7333825701624815
["c","p","s","t"],0.5997045790251108
["k","p","s","t"],0.4278680452978828
["e","p","s","t"],0.6979320531757754
["p","s","t","w"],0.7333825701624815
["o","p","s","t"],0.6627277203348104
["p","s","t","y"],0.396848842934515
["b","p","s","t"],0.7018709995076317
["g","p","s","t"],0.36952240275726245
["p","s","t","v"],0.35745937961595275
["c","f","p","s"],0.6669128508124077
["f","k","p","s"],0.4544559330379124
["e","f","p","s"],0.7673559822747416
["f","p","s","w"],0.7791728212703102
["f","o","p","s"],0.7321516494337764
["f","p","s","y"],0.42269817823732153
["b","f","p","s"],0.7535696701132447
["f","g","p","s"],0.38872476612506157
["f","p","s","v"],0.39438700147710487
["d","f","p","s"],0.31954702117183653
["c","k","p","s"],0.3709995076317085
["c","e","p","s"],0.6314623338257016
["c","p","s","w"],0.6432791728212703
["c","o","p","s"],0.6294928606597735
["c","p","s","y"],0.41568193008370263
["b","c","p","s"],0.6176760216642049
["c","p","s","v"],0.3803545051698671
["c","d","p","s"],0.30773018217626785
["e","k","p","s"],0.4544559330379124
["k","p","s","w"],0.448547513540128
["k","o","p","s"],0.4190054160512063
["b","k","p","s"],0.4273756770064008
["e","p","s","w"],0.7437223042836041
["e","o","p","s"],0.6967011324470704
["e","p","s","y"],0.42269817823732153
["b","e","p","s"],0.7181191531265386
["e","g","p","s"],0.36509108813392416
["e","p","s","v"],0.3766617429837518
["d","e","p","s"],0.31954702117183653
["o","p","s","w"],0.7085179714426391
["p","s","w","y"],0.41088133924175285
["b","p","s","w"],0.7299359921221074
["g","p","s","w"],0.38872476612506157
["p","s","v","w"],0.3825701624815362
["d","p","s","w"],0.31954702117183653
["o","p","s","y"],0.40251107828655835
["b","o","p","s"],0.6829148202855736
["g","o","p","s"],0.34859675036927623
["o","p","s","v"],0.38355489906450024
["d","o","p","s"],0.3190546528803545
["b","p","s","y"],0.3951255539143279
["b","g","p","s"],0.3655834564254062
["b","p","s","v"],0.36976858690300346
["b","d","p","s"],0.31363860167405216
["f","n","p","t"],0.7090103397341211
["c","n","p","t"],0.5672082717872969
["k","n","p","t"],0.4359921221073363
["e","n","p","t"],0.7090103397341211
["n","p","t","w"],0.7090103397341211
["n","o","p","t"],0.6351550960118169
["n","p","t","y"],0.40275726243229937
["b","n","p","t"],0.6774987690792713
["g","n","p","t"],0.34416543574593794
["n","p","t","v"],0.35745937961595275
["c","f","n","p"],0.7331363860167405
["f","k","n","p"],0.5603151157065485
["e","f","n","p"],0.8778926637124569
["f","n","p","w"],0.8542589857213195
["f","n","o","p"],0.7996061053668144
["f","n","p","y"],0.516248153618907
["b","f","n","p"],0.8249630723781388
["f","g","n","p"],0.4322993599212211
["f","n","p","v"],0.4441161989167898
["d","f","n","p"],0.3638601674052191
["?","f","n","p"],0.3052683407188577
["c","k","n","p"],0.4707040866568193
["c","e","n","p"],0.7331363860167405
["c","n","p","w"],0.7095027080256031
["c","n","o","p"],0.690300344657804
["c","n","p","y"],0.5088626292466765
["b","c","n","p"],0.6802067946824224
["c","g","n","p"],0.3023141309699655
["c","n","p","v"],0.4293451501723289
["c","d","n","p"],0.3520433284096504
["e","k","n","p"],0.5603151157065485
["k","n","p","w"],0.5544066962087641
["k","n","o","p"],0.517971442639094
["k","n","p","y"],0.3346873461349089
["b","k","n","p"],0.5300344657804037
["k","n","p","v"],0.30305268340718855
["e","n","p","w"],0.8542589857213195
["e","n","o","p"],0.7996061053668144
["e","n","p","y"],0.516248153618907
["b","e","n","p"],0.8249630723781388
["e","g","n","p"],0.4322993599212211
["e","n","p","v"],0.4441161989167898
["d","e","n","p"],0.3638601674052191
["?","e","n","p"],0.3052683407188577
["n","o","p","w"],0.775972427375677
["n","p","w","y"],0.5044313146233382
["b","n","p","w"],0.8013293943870015
["g","n","p","w"],0.4322993599212211
["n","p","v","w"],0.4322993599212211
["d","n","p","w"],0.3638601674052191
["n","o","p","y"],0.49064500246184145
["b","n","o","p"],0.7466765140324964
["g","n","o","p"],0.38995568685376664
["n","o","p","v"],0.43328409650418515
["d","n","o","p"],0.3584441161989168
["b","n","p","y"],0.48498276710979815
["b","g","n","p"],0.4091580502215657
["b","n","p","v"],0.41654357459379615
["b","d","n","p"],0.35499753815854257
["c","f","p","t"],0.6184145741014279
["f","k","p","t"],0.4517479074347612
["e","f","p","t"],0.724766125061546
["f","p","t","w"],0.7602166420482521
["f","o","p","t"],0.6863613983259478
["f","p","t","y"],0.4155588380108321
["b","f","p","t"],0.7287050713934022
["f","g","p","t"],0.3776464795667159
["f","p","t","v"],0.37518463810930575
["c","k","p","t"],0.36312161496799605
["c","e","p","t"],0.5829640571147218
["c","p","t","w"],0.6184145741014279
["c","o","p","t"],0.5800098473658296
["c","p","t","y"],0.4096504185130478
["b","c","p","t"],0.5869030034465781
["c","p","t","v"],0.36336779911373707
["e","k","p","t"],0.4517479074347612
["k","p","t","w"],0.4517479074347612
["k","o","p","t"],0.413835548990645
["b","k","p","t"],0.4320531757754801
["e","p","t","w"],0.724766125061546
["e","o","p","t"],0.6509108813392418
["e","p","t","y"],0.4155588380108321
["b","e","p","t"],0.6932545544066963
["e","g","p","t"],0.3540128015755785
["e","p","t","v"],0.35745937961595275
["o","p","t","w"],0.6863613983259478
["p","t","w","y"],0.4155588380108321
["b","p","t","w"],0.7287050713934022
["g","p","t","w"],0.3776464795667159
["p","t","v","w"],0.37518463810930575
["o","p","t","y"],0.39438700147710487
["b","o","p","t"],0.654849827671098
["g","o","p","t"],0.3353028064992615
["o","p","t","v"],0.3643525356967011
["b","p","t","y"],0.3998030526834072
["b","g","p","t"],0.361890694239291
["b","p","t","v"],0.35942885278188086
["c","f","k","p"],0.5573609059576563
["c","e","f","p"],0.8197932053175776
["c","f","p","w"],0.8316100443131462
["c","f","o","p"],0.8124076809453471
["c","f","p","y"],0.5837026095519449
["b","c","f","p"],0.8023141309699655
["c","f","g","p"],0.3909404234367307
["c","f","l","p"],0.3023141309699655
["c","f","p","v"],0.48252092565238797
["c","d","f","p"],0.37567700640078777
["e","f","k","p"],0.6469719350073855
["f","k","p","w"],0.6410635155096012
["f","k","o","p"],0.604628261939931
["f","k","p","y"],0.40952732644017725
["b","f","k","p"],0.6166912850812407
["f","g","k","p"],0.33739537173806006
["f","k","p","v"],0.33850320039389464
["e","f","p","w"],0.9409158050221565
["e","f","o","p"],0.8862629246676514
["e","f","p","y"],0.5910881339241753
["b","e","f","p"],0.9116198916789758
["e","f","g","p"],0.49729197439684886
["e","f","l","p"],0.31117676021664203
["e","f","p","v"],0.4795667159034958
["d","e","f","p"],0.38749384539635645
["?","e","f","p"],0.3052683407188577
["f","o","p","w"],0.8980797636632201
["f","p","w","y"],0.5792712949286066
["b","f","p","w"],0.9234367306745446
["f","g","p","w"],0.5209256523879862
["f","p","v","w"],0.4854751354012802
["d","f","p","w"],0.38749384539635645
["f","o","p","y"],0.5654849827671098
["b","f","o","p"],0.8687838503200394
["f","g","o","p"],0.47858197932053176
["f","l","o","p"],0.31117676021664203
["f","o","p","v"],0.48645987198424423
["d","f","o","p"],0.38207779419005417
["b","f","p","y"],0.5598227474150664
["b","f","g","p"],0.4977843426883309
["b","f","l","p"],0.310438207779419
["b","f","p","v"],0.46971935007385524
["b","d","f","p"],0.37863121614968
["c","e","k","p"],0.5573609059576563
["c","k","p","w"],0.551452486459872
["c","k","o","p"],0.5445593303791236
["c","k","p","y"],0.4090349581486952
["b","c","k","p"],0.5270802560315115
["c","k","p","v"],0.3375184638109306
["c","e","p","w"],0.7961595273264401
