"itemSet","support"
59,1103
["7101"],0.16266666666666665
["7103"],0.18666666666666668
["7106"],0.15466666666666667
["7112"],0.168
["7113"],0.184
["7114"],0.17066666666666666
["7115"],0.17866666666666667
["7120"],0.176
["7121"],0.28
["7122"],0.168
["7130"],0.24533333333333332
["7131"],0.272
["7132"],0.18133333333333335
["7140"],0.152
["7141"],0.25066666666666665
["7142"],0.20266666666666666
["7143"],0.15466666666666667
["7150"],0.248
["7151"],0.312
["7161"],0.16
["7162"],0.2
["7163"],0.17066666666666666
["7170"],0.37066666666666664
["7171"],0.26666666666666666
["7180"],0.344
["7181"],0.23466666666666666
["7190"],0.24
["7191"],0.25333333333333335
["7192"],0.176
["7200"],0.184
["7201"],0.23733333333333334
["7210"],0.232
["7211"],0.24
["7212"],0.18933333333333333
["7221"],0.18933333333333333
["7222"],0.2
["7223"],0.176
["7230"],0.21866666666666668
["7231"],0.2826666666666667
["7232"],0.18666666666666668
["7240"],0.22933333333333333
["7241"],0.29333333333333333
["7242"],0.19466666666666665
["7250"],0.192
["7251"],0.25333333333333335
["7252"],0.168
["7260"],0.21333333333333335
["7261"],0.26666666666666666
["7262"],0.16533333333333333
["7270"],0.32266666666666666
["7271"],0.27466666666666667
["7280"],0.21066666666666667
["7281"],0.256
["7282"],0.18933333333333333
["7290"],0.2773333333333333
["7291"],0.248
["7180","7290"],0.21066666666666667
["7190","7270"],0.18666666666666668
["7190","7290"],0.17866666666666667
["7210","7240"],0.17333333333333334
["7210","7260"],0.16
["7210","7270"],0.19466666666666665
["7210","7290"],0.168
["7211","7241"],0.16533333333333333
["7211","7261"],0.16
["7211","7271"],0.15733333333333333
["7230","7240"],0.15733333333333333
["7230","7270"],0.184
["7230","7290"],0.17333333333333334
["7231","7241"],0.176
["7231","7251"],0.15466666666666667
["7231","7261"],0.15733333333333333
["7231","7291"],0.15466666666666667
["7240","7260"],0.16266666666666665
["7240","7270"],0.2
["7240","7290"],0.18133333333333335
["7241","7251"],0.15733333333333333
["7241","7261"],0.18133333333333335
["7241","7271"],0.176
["7241","7281"],0.15466666666666667
["7241","7291"],0.17333333333333334
["7250","7270"],0.152
["7250","7290"],0.152
["7251","7261"],0.152
["7260","7270"],0.17866666666666667
["7260","7290"],0.17333333333333334
["7261","7271"],0.15466666666666667
["7261","7281"],0.152
["7261","7291"],0.152
["7270","7280"],0.18933333333333333
["7270","7290"],0.23466666666666666
["7271","7281"],0.152
["7271","7291"],0.15733333333333333
["7280","7290"],0.17866666666666667
["7130","7150","7170"],0.15733333333333333
["7130","7150","7180"],0.15466666666666667
["7130","7170","7180"],0.176
["7130","7170","7230"],0.152
["7130","7170","7270"],0.17066666666666666
["7130","7170","7290"],0.152
["7130","7180","7270"],0.16
["7150","7170","7180"],0.19466666666666665
["7150","7170","7190"],0.15466666666666667
["7150","7170","7240"],0.15466666666666667
["7150","7170","7270"],0.17333333333333334
["7150","7170","7290"],0.16266666666666665
["7150","7180","7190"],0.16266666666666665
["7150","7180","7240"],0.152
["7150","7180","7270"],0.176
["7150","7180","7290"],0.16266666666666665
["7150","7240","7270"],0.152
["7150","7270","7290"],0.16533333333333333
["7170","7180","7190"],0.19466666666666665
["7170","7180","7210"],0.168
["7170","7180","7230"],0.168
["7170","7180","7240"],0.16266666666666665
["7170","7180","7270"],0.22133333333333333
["7170","7180","7290"],0.2
["7170","7190","7270"],0.17066666666666666
["7170","7190","7290"],0.168
["7170","7210","7270"],0.16266666666666665
["7170","7230","7270"],0.16266666666666665
["7170","7230","7290"],0.152
["7170","7240","7270"],0.16533333333333333
["7170","7270","7290"],0.19466666666666665
["7180","7190","7270"],0.18133333333333335
["7180","7190","7290"],0.17066666666666666
["7180","7210","7270"],0.168
["7180","7230","7270"],0.15466666666666667
["7180","7240","7270"],0.16533333333333333
["7180","7270","7290"],0.19466666666666665
["7190","7270","7290"],0.168
["7210","7240","7270"],0.16
["7210","7270","7290"],0.15733333333333333
["7230","7270","7290"],0.16
["7240","7260","7270"],0.15466666666666667
["7240","7270","7290"],0.17066666666666666
["7260","7270","7290"],0.15466666666666667
["7270","7280","7290"],0.16533333333333333
["7130","7170","7180","7270"],0.152
["7150","7170","7180","7190"],0.152
["7150","7170","7180","7270"],0.16533333333333333
["7150","7170","7180","7290"],0.15466666666666667
["7150","7170","7270","7290"],0.152
["7150","7180","7270","7290"],0.15733333333333333
["7170","7180","7190","7270"],0.16533333333333333
["7170","7180","7190","7290"],0.16266666666666665
["7170","7180","7210","7270"],0.15466666666666667
["7170","7180","7240","7270"],0.152
["7170","7180","7270","7290"],0.184
["7170","7190","7270","7290"],0.16
["7180","7190","7270","7290"],0.16533333333333333
["7170","7180","7190","7270","7290"],0.15733333333333333
